Round, Client Index, Execution Time (s)
0, 0, 23.4558
0, 1, 14.7927
0, 2, 38.6621
0, 3, 34.3057
0, 4, 20.3742
1, 0, 30.5609
1, 1, 12.8337
1, 2, 8.5019
1, 3, 19.5239
1, 4, 2.9431
2, 0, 25.5287
2, 1, 3.9316
2, 2, 9.4538
2, 3, 13.7681
2, 4, 18.8873
3, 0, 19.4966
3, 1, 2.9106
3, 2, 15.1576
3, 3, 29.7950
3, 4, 9.6091
4, 0, 15.2323
4, 1, 5.4599
4, 2, 25.5180
4, 3, 28.4132
4, 4, 9.7025
5, 0, 26.8448
5, 1, 15.9035
5, 2, 36.2852
5, 3, 5.6948
5, 4, 31.0984
6, 0, 17.3070
6, 1, 23.9311
6, 2, 3.1994
6, 3, 34.1136
6, 4, 46.8286
7, 0, 10.9832
7, 1, 36.8806
7, 2, 21.6007
7, 3, 32.5579
7, 4, 16.0895
8, 0, 18.2345
8, 1, 2.8724
8, 2, 31.0414
8, 3, 11.4952
8, 4, 7.1329
9, 0, 46.9806
9, 1, 34.2053
9, 2, 20.0085
9, 3, 9.8442
9, 4, 3.2086
10, 0, 22.7944
10, 1, 32.2381
10, 2, 27.0658
10, 3, 19.9438
10, 4, 13.3316
11, 0, 32.2803
11, 1, 40.8762
11, 2, 36.5400
11, 3, 19.6160
11, 4, 5.4775
12, 0, 39.1180
12, 1, 13.9976
12, 2, 9.7389
12, 3, 24.9655
12, 4, 5.4175
13, 0, 11.1767
13, 1, 17.9055
13, 2, 25.0979
13, 3, 22.2034
13, 4, 35.4306
14, 0, 10.6046
14, 1, 28.4207
14, 2, 32.7176
14, 3, 23.2526
14, 4, 39.4392
15, 0, 18.7420
15, 1, 28.8915
15, 2, 4.6264
15, 3, 41.6770
15, 4, 52.7635
16, 0, 17.3110
16, 1, 5.9045
16, 2, 8.7699
16, 3, 23.9375
16, 4, 13.0767
17, 0, 42.5384
17, 1, 21.0967
17, 2, 3.1020
17, 3, 15.9163
17, 4, 31.4421
18, 0, 43.6636
18, 1, 38.0777
18, 2, 14.2870
18, 3, 27.0417
18, 4, 33.7705
19, 0, 15.5232
19, 1, 35.0483
19, 2, 40.2169
19, 3, 22.2503
19, 4, 4.4810
20, 0, 14.2799
20, 1, 42.3662
20, 2, 29.5853
20, 3, 47.9622
20, 4, 18.5224
21, 0, 29.7458
21, 1, 36.4612
21, 2, 40.7589
21, 3, 24.5774
21, 4, 10.3426
22, 0, 11.3630
22, 1, 23.0620
22, 2, 16.4451
22, 3, 37.2728
22, 4, 47.5434
23, 0, 10.2406
23, 1, 4.7032
23, 2, 21.1537
23, 3, 27.8287
23, 4, 32.1366
24, 0, 21.0622
24, 1, 14.4093
24, 2, 30.8650
24, 3, 35.2153
24, 4, 25.3114
25, 0, 23.1412
25, 1, 29.8853
25, 2, 7.7362
25, 3, 4.8459
25, 4, 12.0475
26, 0, 32.3409
26, 1, 12.7516
26, 2, 16.9957
26, 3, 27.9695
26, 4, 37.9177
27, 0, 4.6057
27, 1, 38.1895
27, 2, 24.2916
27, 3, 10.1257
27, 4, 35.2855
28, 0, 4.9785
28, 1, 21.8486
28, 2, 38.8427
28, 3, 24.7105
28, 4, 15.1971
29, 0, 15.5855
29, 1, 19.8841
29, 2, 32.6819
29, 3, 4.5185
29, 4, 46.9683
30, 0, 31.2909
30, 1, 20.9498
30, 2, 36.4730
30, 3, 18.0510
30, 4, 6.9638
31, 0, 31.0633
31, 1, 25.4834
31, 2, 14.4685
31, 3, 37.7925
31, 4, 40.6840
32, 0, 7.2492
32, 1, 24.5094
32, 2, 14.3423
32, 3, 11.4920
32, 4, 28.8609
33, 0, 18.3318
33, 1, 33.6043
33, 2, 13.1943
33, 3, 25.0118
33, 4, 29.2780
34, 0, 9.2571
34, 1, 23.5611
34, 2, 4.9310
34, 3, 30.3268
34, 4, 43.1758
35, 0, 24.6695
35, 1, 44.2510
35, 2, 14.3578
35, 3, 49.8428
35, 4, 37.5106
36, 0, 4.4242
