Round,ClientIndex,ExecutionTime(s)
1,0,12.448503
1,1,7.115145
1,2,33.292566
1,3,20.306251
1,4,27.385983
2,0,16.213273
2,1,7.626948
2,2,12.773663
2,3,27.118066
2,4,23.292964
3,0,23.262561
3,1,3.844512
3,2,20.455323
3,3,14.501650
3,4,7.284650
4,0,10.349687
4,1,15.615399
4,2,6.480609
4,3,2.814385
4,4,18.894964
5,0,19.028801
5,1,6.528128
5,2,25.976986
5,3,11.816800
5,4,14.312515
6,0,15.626042
6,1,7.165477
6,2,12.544526
6,3,22.685939
6,4,4.682441
7,0,19.842335
7,1,15.933346
7,2,5.834178
7,3,27.766882
7,4,13.097479
8,0,22.949439
8,1,15.640088
8,2,6.743678
8,3,3.904866
8,4,9.603153
9,0,6.124352
9,1,18.257222
9,2,8.963043
9,3,26.105835
9,4,12.864630
10,0,16.839779
10,1,23.687895
10,2,10.827855
10,3,20.763128
10,4,8.085421
11,0,21.199873
11,1,3.611423
11,2,7.487184
11,3,18.281347
11,4,14.749907
12,0,28.174877
12,1,20.893864
12,2,3.942097
12,3,12.868841
12,4,6.807666
13,0,6.363035
13,1,12.379753
13,2,19.803949
13,3,15.872646
13,4,2.889513
14,0,10.116663
14,1,12.585405
14,2,17.249439
14,3,7.031984
14,4,20.623115
15,0,13.258874
15,1,7.105463
15,2,10.145021
15,3,21.240653
15,4,15.732921
16,0,2.817443
16,1,14.149043
16,2,10.663798
16,3,20.141703
16,4,23.590908
17,0,24.160610
17,1,11.744027
17,2,7.866441
17,3,15.278038
17,4,21.281477
18,0,10.617098
18,1,23.824082
18,2,17.831250
18,3,7.783290
18,4,3.883909
19,0,3.510221
19,1,20.987868
19,2,6.180258
19,3,17.443170
19,4,11.474244
20,0,3.982415
20,1,9.286253
20,2,19.966040
20,3,22.799282
20,4,17.151077
21,0,2.846642
21,1,6.675935
21,2,13.882483
21,3,19.030831
21,4,22.378514
22,0,20.063510
22,1,3.127856
22,2,9.475005
22,3,15.389732
22,4,11.968151
23,0,7.186907
23,1,15.805982
23,2,10.560996
23,3,4.665430
23,4,18.892228
24,0,13.412921
24,1,7.862341
24,2,10.330581
24,3,3.194497
24,4,16.935583
25,0,10.020371
25,1,18.786724
25,2,22.600909
25,3,12.832412
25,4,2.870416
26,0,23.635564
26,1,5.996515
26,2,17.313386
26,3,9.437100
26,4,20.799296
27,0,13.319032
27,1,2.819650
27,2,6.109823
27,3,19.177087
27,4,9.841281
28,0,11.853170
28,1,18.178339
28,2,15.327971
28,3,24.182512
28,4,3.903771
29,0,18.169612
29,1,8.217900
29,2,14.231831
29,3,21.695789
29,4,5.371029
30,0,26.519640
30,1,5.368355
30,2,22.623709
30,3,11.404659
30,4,19.070271
31,0,16.299978
31,1,10.857551
31,2,25.994373
31,3,22.610974
31,4,7.987041
32,0,3.110901
32,1,8.471117
32,2,16.485297
