Round, Client Index, Execution Time (s)
0, 0, 298.9576
0, 1, 473.4582
0, 2, 403.2314
0, 3, 244.6619
0, 4, 97.6251
1, 0, 695.8204
1, 1, 131.8083
1, 2, 222.1699
1, 3, 504.7070
1, 4, 342.5282
2, 0, 449.8192
2, 1, 491.3188
2, 2, 124.1082
2, 3, 179.5014
2, 4, 282.3684
3, 0, 545.9169
3, 1, 605.6374
3, 2, 172.7261
3, 3, 307.3406
3, 4, 452.3697
4, 0, 273.3420
4, 1, 449.5448
4, 2, 193.5553
4, 3, 94.8953
4, 4, 570.6587
5, 0, 450.6381
5, 1, 587.2712
5, 2, 234.3179
5, 3, 121.0056
5, 4, 325.4071
6, 0, 318.2778
6, 1, 367.2927
6, 2, 454.4701
6, 3, 78.3863
6, 4, 167.4580
7, 0, 77.3848
7, 1, 347.7883
7, 2, 544.6310
7, 3, 249.6037
7, 4, 476.6681
8, 0, 500.7777
8, 1, 203.2625
8, 2, 369.6469
8, 3, 139.6963
8, 4, 411.0914
9, 0, 397.3596
9, 1, 136.6986
9, 2, 245.5595
9, 3, 309.4711
9, 4, 55.8208
10, 0, 401.6377
10, 1, 164.6737
10, 2, 87.9391
10, 3, 206.1398
10, 4, 313.2908
11, 0, 411.4880
11, 1, 600.0124
11, 2, 158.2321
11, 3, 330.2286
11, 4, 552.6548
12, 0, 597.5499
12, 1, 270.6835
12, 2, 179.9666
12, 3, 389.3196
12, 4, 444.4448
13, 0, 436.2826
13, 1, 305.3884
13, 2, 260.3236
13, 3, 136.7510
13, 4, 358.3497
14, 0, 216.5835
14, 1, 75.1978
14, 2, 496.1662
14, 3, 375.7179
14, 4, 164.8545
15, 0, 268.5010
15, 1, 175.4966
15, 2, 479.6917
15, 3, 44.2776
15, 4, 422.6169
16, 0, 98.1260
16, 1, 161.1507
16, 2, 252.9391
16, 3, 295.6415
16, 4, 368.5274
17, 0, 482.4885
17, 1, 384.4771
17, 2, 536.8247
17, 3, 258.0372
17, 4, 86.0246
18, 0, 307.2544
18, 1, 395.9218
18, 2, 191.2897
18, 3, 600.7427
18, 4, 522.3212
19, 0, 173.6704
19, 1, 264.6638
19, 2, 109.1753
19, 3, 389.7583
19, 4, 431.8051
20, 0, 177.1374
20, 1, 89.0980
20, 2, 491.0420
20, 3, 426.6380
20, 4, 286.8347
21, 0, 340.7540
21, 1, 478.8547
21, 2, 592.1770
21, 3, 166.0260
21, 4, 215.2652
22, 0, 300.6605
22, 1, 542.8540
22, 2, 349.1058
22, 3, 164.3940
22, 4, 435.5824
23, 0, 385.3140
23, 1, 571.1634
23, 2, 299.8826
23, 3, 88.4111
23, 4, 175.2021
24, 0, 146.2697
24, 1, 55.8925
24, 2, 209.5625
24, 3, 345.4317
24, 4, 508.6528
25, 0, 372.5661
25, 1, 494.8854
25, 2, 309.4968
25, 3, 173.9700
25, 4, 88.1575
26, 0, 62.9476
26, 1, 273.0222
26, 2, 139.1748
26, 3, 435.9015
26, 4, 224.9328
27, 0, 111.4710
27, 1, 198.6425
27, 2, 321.1067
27, 3, 397.3387
27, 4, 48.3386
28, 0, 136.4066
28, 1, 497.7324
28, 2, 410.6432
28, 3, 184.6163
28, 4, 347.2718
29, 0, 386.9180
29, 1, 182.9028
29, 2, 76.2261
29, 3, 345.6915
29, 4, 473.2878
30, 0, 479.0527
30, 1, 275.8631
30, 2, 148.7590
30, 3, 107.4546
30, 4, 425.9556
31, 0, 236.6526
31, 1, 453.7760
31, 2, 56.7865
31, 3, 411.3692
31, 4, 300.2261
32, 0, 513.3101
32, 1, 88.8696
32, 2, 448.3516
32, 3, 262.5836
32, 4, 173.1584
33, 0, 271.4524
33, 1, 504.7521
33, 2, 316.7191
33, 3, 395.7501
33, 4, 140.5808
34, 0, 191.6794
34, 1, 42.0292
34, 2, 239.8464
34, 3, 346.9007
34, 4, 105.4422
35, 0, 404.4470
35, 1, 125.9340
35, 2, 292.8298
35, 3, 77.4469
35, 4, 447.2163
36, 0, 241.2381
36, 1, 163.6062
36, 2, 56.5192
36, 3, 407.2552
36, 4, 494.9407
37, 0, 353.6605
37, 1, 417.0416
37, 2, 470.0614
37, 3, 267.6775
37, 4, 131.4643
38, 0, 117.0015
38, 1, 66.6957
38, 2, 384.4538
38, 3, 493.1676
38, 4, 240.4376
39, 0, 381.6673
39, 1, 539.6022
39, 2, 439.3976
39, 3, 291.8666
39, 4, 167.0212
40, 0, 85.4516
40, 1, 383.7484
40, 2, 174.0091
40, 3, 341.1809
40, 4, 439.9514
41, 0, 468.4422
41, 1, 373.1150
41, 2, 232.0632
41, 3, 115.9113
41, 4, 321.7440
42, 0, 184.1738
42, 1, 372.6674
42, 2, 485.2436
42, 3, 577.4944
42, 4, 131.6076
43, 0, 544.2397
43, 1, 394.8131
43, 2, 245.2238
43, 3, 622.9927
43, 4, 169.4945
44, 0, 349.4669
44, 1, 286.2167
44, 2, 397.5501
44, 3, 167.5550
44, 4, 209.3716
45, 0, 207.5582
45, 1, 87.2595
45, 2, 334.6833
45, 3, 460.4303
45, 4, 156.2672
46, 0, 87.5600
46, 1, 356.6155
46, 2, 174.0643
46, 3, 293.0035
46, 4, 251.5606
47, 0, 373.4969
47, 1, 414.8477
47, 2, 136.3547
47, 3, 287.2242
47, 4, 199.4604
48, 0, 214.9893
48, 1, 441.2622
48, 2, 278.1779
48, 3, 41.2996
48, 4, 128.8451
49, 0, 243.2314
49, 1, 379.7999
49, 2, 107.4507
49, 3, 421.1524
49, 4, 155.7402
