Round,ClientIndex,ExecutionTimeSeconds
0,0,32.753003
0,1,18.103501
0,2,52.078647
0,3,41.138830
0,4,26.053128
1,0,39.995239
1,1,18.537334
1,2,11.678011
1,3,33.580180
1,4,44.079083
2,0,26.444245
2,1,36.346736
2,2,4.818835
2,3,11.617484
2,4,15.664904
3,0,7.699339
3,1,33.599898
3,2,23.934350
3,3,37.638405
3,4,18.040216
4,0,41.611220
4,1,6.609092
4,2,25.390237
4,3,34.969460
4,4,16.189670
5,0,7.093139
5,1,27.067669
5,2,13.966192
5,3,23.199706
5,4,32.976847
6,0,37.410698
6,1,5.948205
6,2,24.982839
6,3,31.830504
6,4,15.764439
7,0,26.928386
7,1,5.915943
7,2,23.124804
7,3,16.354775
7,4,9.416051
8,0,16.504148
8,1,7.345531
8,2,20.009796
8,3,25.908472
8,4,29.717725
9,0,37.192372
9,1,33.373985
9,2,19.628790
9,3,13.760336
9,4,26.557027
10,0,37.048283
10,1,6.932791
10,2,23.724231
10,3,27.238248
10,4,19.899605
11,0,7.659794
11,1,29.205981
11,2,20.074029
11,3,4.127992
11,4,14.578526
12,0,29.976635
12,1,20.651806
12,2,4.124119
12,3,26.505364
12,4,10.939287
13,0,27.130901
13,1,32.638254
13,2,7.332942
13,3,20.353451
13,4,16.509152
14,0,23.156713
14,1,15.751559
14,2,9.815571
14,3,19.289254
14,4,32.949053
15,0,12.914908
15,1,43.992408
15,2,22.012038
15,3,34.336601
15,4,28.862623
16,0,18.594356
16,1,31.416316
16,2,6.307228
16,3,13.151643
16,4,38.222959
17,0,26.135486
17,1,6.532148
17,2,13.246167
17,3,35.817147
17,4,42.673631
18,0,34.836460
18,1,31.378515
18,2,22.068120
18,3,6.159874
18,4,15.200135
19,0,12.679574
19,1,18.172253
19,2,5.958518
19,3,34.558124
19,4,21.661329
20,0,28.310508
20,1,15.187106
20,2,24.501053
20,3,35.038152
20,4,6.151212
21,0,31.023136
21,1,11.941875
21,2,21.252941
21,3,6.389404
21,4,43.981483
22,0,34.426546
22,1,28.923896
22,2,6.179442
22,3,22.129517
22,4,13.054245
23,0,29.429688
23,1,10.194453
23,2,42.238554
23,3,22.489551
23,4,15.706978
24,0,7.317687
24,1,16.774731
24,2,3.496677
24,3,35.344509
24,4,29.813080
25,0,29.265399
25,1,25.728610
25,2,13.301018
25,3,6.354846
25,4,20.187145
26,0,26.668835
26,1,35.839606
26,2,15.879109
26,3,6.025605
26,4,22.843616
27,0,18.939089
27,1,9.489694
27,2,13.016769
27,3,37.535809
27,4,24.568142
28,0,13.320538
28,1,9.468828
28,2,29.575192
28,3,16.855249
28,4,22.754122
29,0,32.737827
29,1,3.858895
29,2,16.565483
29,3,9.755417
29,4,23.556975
30,0,33.353845
30,1,20.380131
30,2,42.817206
30,3,24.208280
30,4,13.449138
31,0,22.330884
31,1,5.676895
31,2,35.275576
31,3,25.829487
31,4,12.518120
32,0,34.663430
32,1,44.474151
32,2,25.212449
32,3,13.786988
32,4,19.682034
33,0,20.137766
33,1,7.176788
33,2,36.646270
33,3,33.123301
33,4,16.312783
34,0,17.136262
34,1,23.974262
34,2,39.228176
34,3,13.333153
34,4,33.381623
35,0,7.158045
35,1,41.784397
35,2,20.088517
35,3,35.999583
35,4,26.890407
36,0,5.867022
36,1,37.134139
36,2,22.265954
36,3,15.546757
36,4,31.318883
37,0,13.563060
37,1,26.407861
37,2,4.204844
37,3,42.987907
37,4,33.282863
38,0,32.968883
38,1,36.447636
38,2,4.305570
38,3,17.073605
38,4,26.081463
39,0,32.072926
39,1,46.907601
39,2,37.902861
39,3,9.584159
39,4,19.251960
40,0,31.047290
40,1,13.014664
40,2,3.987822
40,3,25.225993
40,4,19.716416
41,0,27.717896
41,1,21.879858
41,2,36.749269
41,3,15.182261
41,4,5.560135
42,0,22.476315
42,1,13.444394
42,2,34.748720
42,3,27.929482
42,4,4.188977
43,0,22.933511
43,1,31.942354
43,2,37.416430
43,3,10.137880
43,4,40.879493
44,0,21.046516
44,1,36.164945
44,2,26.885967
44,3,10.572169
44,4,14.317671
45,0,32.799567
45,1,20.026217
