Round,DurationSeconds
0,53.535280
1,45.285626
2,37.441471
3,38.763096
4,42.688226
5,34.070916
6,38.502204
7,28.043700
8,30.809074
9,38.288378
10,38.143530
11,30.302383
12,31.067834
13,33.721425
14,34.028869
15,45.080189
16,39.306417
17,43.754547
18,35.917059
19,35.637930
20,36.125963
21,45.063257
22,35.515342
23,43.320827
24,36.440710
25,30.365905
26,36.931757
27,38.619043
28,30.667828
29,33.830507
30,43.906069
31,36.372405
32,45.558903
33,37.738649
34,40.314737
35,42.864224
36,38.214459
37,44.068907
38,37.522925
39,47.985898
40,32.133819
41,37.825841
42,35.824156
43,41.958682
44,37.268584
45,37.631827
46,29.886520
47,30.475059
48,32.819902
49,39.099649
50,32.851144
51,33.743589
52,38.786885
53,33.420583
54,28.701325
55,36.273795
56,35.440835
57,28.804476
58,32.653004
59,38.615923
60,35.042821
61,34.638691
62,29.849534
63,38.314891
64,34.044666
65,41.961156
66,40.217366
67,41.201331
68,44.578844
69,31.835930
70,33.560059
71,48.489769
72,32.585850
73,32.782182
74,32.344473
75,36.448330
76,32.626827
77,34.514349
78,35.894914
79,36.444671
80,35.440699
81,37.282291
82,35.043347
83,38.583607
84,31.826948
85,34.576906
86,38.665505
87,30.056192
88,31.686385
89,35.802676
90,39.111686
91,35.651029
92,35.871419
93,35.640994
94,32.549093
95,42.095130
96,33.267996
97,41.955899
98,35.986804
99,41.886084
100,37.347601
101,38.478616
102,32.264587
103,39.384262
104,35.320485
105,39.545456
106,33.288852
107,39.750161
108,41.544153
109,32.695962
110,33.070154
111,41.465654
112,33.260977
113,28.955062
114,29.659424
115,43.105008
116,36.366309
117,30.445053
118,42.337641
119,29.071406
120,42.075762
121,33.297798
122,42.952570
123,34.827812
124,36.133070
125,28.950145
126,36.260327
127,36.409669
128,35.903191
129,39.434107
130,29.606536
131,39.561517
132,38.721899
133,33.422120
134,38.615710
135,43.226852
136,38.472856
137,36.887079
138,43.322461
139,35.109245
140,37.325834
141,33.729214
142,33.652007
143,33.391885
144,32.145827
145,38.492465
146,35.311713
147,35.525069
148,41.320770
149,30.842937
150,37.186714
151,39.542985
152,36.268436
153,37.300965
154,35.322294
155,30.611613
156,39.225225
157,31.727010
158,35.224196
159,45.880675
160,36.430585
161,44.450741
162,39.549336
163,35.161046
164,42.378893
165,38.479226
166,29.548681
167,38.222761
168,35.758470
169,28.820799
170,35.619530
171,42.198278
172,34.632590
173,39.240767
174,47.321181
175,37.248208
176,37.445219
177,28.956627
178,44.866496
179,45.845550
180,39.273352
181,41.806235
182,39.710285
183,35.757265
184,31.002332
185,30.419281
186,40.767042
187,35.154937
188,35.312991
189,39.127862
190,37.766907
191,45.976064
192,35.488399
193,41.021811
194,35.185825
195,26.003615
196,28.509874
197,42.830247
