Round,SelectedClients
0,5 2 7 4 8
1,5 1 6 2 0
2,7 9 3 1 0
3,8 9 5 3 6
4,8 1 7 6 9
5,4 3 8 9 1
6,5 1 9 8 6
7,3 1 8 4 0
8,9 4 0 1 3
9,3 8 1 2 4
10,6 8 3 0 2
11,0 9 5 3 4
12,0 6 3 1 8
13,8 5 4 3 9
14,3 1 7 0 6
15,2 6 9 5 4
16,5 2 1 4 8
17,2 5 8 6 4
18,0 7 4 1 9
19,8 5 1 2 0
20,3 9 7 8 1
21,6 5 7 1 2
22,5 8 1 9 4
23,4 7 2 8 5
24,3 7 0 5 2
25,0 5 4 1 8
26,3 9 6 1 4
27,1 7 0 2 5
28,3 7 8 0 1
29,9 3 8 1 4
30,9 4 7 3 2
31,6 5 7 0 8
32,7 6 5 2 1
33,3 8 0 2 9
34,3 8 1 2 7
35,4 1 2 9 8
36,5 1 8 6 9
37,7 2 0 6 4
38,4 0 3 2 9
39,2 9 1 7 6
40,1 9 3 5 8
41,1 8 9 6 5
42,9 7 4 5 3
43,2 9 5 7 0
44,8 7 1 6 3
45,2 0 6 8 3
46,5 3 0 8 9
47,3 0 5 4 6
48,9 4 8 0 5
49,2 8 0 5 7
50,5 7 3 0 6
51,1 8 2 0 3
52,5 3 2 9 8
53,3 5 9 8 4
54,7 5 3 0 1
55,3 1 4 2 5
56,8 5 2 0 1
57,3 0 1 7 5
58,4 5 0 8 9
59,1 6 2 5 0
60,8 4 7 1 5
61,3 7 5 1 9
62,8 1 3 5 4
63,5 2 1 6 0
64,3 7 0 4 6
65,9 1 3 2 6
66,9 0 2 8 4
67,5 8 6 9 7
68,7 2 9 8 1
69,0 7 1 8 5
70,0 2 1 3 8
71,7 4 2 9 6
72,1 2 3 5 0
73,0 5 3 9 6
74,3 0 5 2 1
75,4 7 9 8 3
76,6 8 1 3 5
77,6 3 4 9 0
78,8 9 3 7 5
79,1 9 6 3 4
80,7 9 5 0 8
81,0 1 6 3 2
82,5 8 1 4 7
83,1 5 8 2 4
84,8 4 3 6 0
85,7 6 1 5 0
86,2 4 5 0 7
87,0 5 6 8 3
88,8 1 0 9 5
89,1 3 9 2 0
90,3 6 7 1 9
91,0 8 9 7 1
92,1 9 6 0 4
93,0 1 8 6 9
94,3 6 5 0 7
95,4 2 9 8 5
96,8 5 3 9 4
97,5 4 8 7 2
98,0 9 7 6 3
99,2 7 8 5 1
100,2 8 3 4 1
101,4 0 5 2 9
102,6 1 5 4 0
103,2 0 8 6 5
104,3 9 4 5 7
105,4 3 5 7 2
106,6 0 5 7 3
107,2 6 0 3 7
108,9 7 8 1 6
109,7 5 1 8 0
110,7 1 4 0 8
111,4 2 1 5 6
112,6 7 3 0 1
113,7 0 1 3 5
114,0 3 8 5 7
115,3 2 4 6 9
116,7 3 5 4 6
117,7 0 4 1 3
118,4 8 6 5 2
119,0 3 1 5 6
120,3 7 1 6 2
121,0 8 3 5 2
122,3 2 6 1 9
123,1 3 6 9 5
124,3 8 6 1 7
125,3 5 7 0 1
126,7 3 1 2 0
127,0 2 6 1 3
128,5 7 6 3 4
129,0 4 6 2 1
130,1 4 8 3 5
131,0 7 2 8 5
132,1 3 5 6 2
133,8 3 5 9 4
134,1 0 2 9 8
135,5 7 2 1 9
136,5 2 8 1 4
137,2 0 1 8 4
138,4 9 6 3 2
139,8 1 7 9 0
140,4 3 0 2 6
141,3 6 8 1 4
142,7 3 6 1 0
143,6 8 5 4 3
144,3 0 5 9 7
145,8 9 2 5 3
146,7 1 9 8 3
147,3 1 6 7 5
148,1 7 2 0 9
149,9 8 3 4 0
150,4 2 3 9 0
151,4 9 8 2 0
152,7 8 1 3 6
153,1 7 4 5 9
154,5 4 9 0 6
155,7 8 1 3 0
156,6 5 4 0 2
157,9 0 5 3 7
158,7 1 9 4 0
159,4 2 8 9 6
160,6 1 8 0 7
161,9 1 7 8 2
162,6 4 5 2 0
163,9 0 5 8 6
164,4 8 7 5 2
165,4 5 8 2 1
166,3 8 5 0 7
167,7 9 5 4 8
168,7 5 6 8 3
169,3 5 6 1 0
170,0 8 5 4 2
171,2 7 4 0 9
172,5 6 1 3 9
173,6 2 0 4 5
174,7 6 9 1 2
175,8 3 2 6 0
176,0 4 2 3 9
177,1 5 6 0 3
178,6 7 2 8 5
179,7 9 6 2 0
180,5 8 3 6 2
181,1 7 9 3 2
182,9 3 4 2 8
183,1 4 9 7 3
184,8 3 7 4 0
185,0 9 1 3 4
186,7 9 8 6 5
187,1 5 2 4 0
188,5 0 2 9 3
189,7 8 6 3 9
190,5 6 1 7 4
191,7 6 1 4 2
192,1 6 7 0 5
193,5 3 7 9 2
194,8 5 7 3 9
195,3 5 0 8 1
196,7 0 1 5 3
197,2 4 9 6 0
198,3 2 4 6 5
199,6 9 0 4 1
200,1 0 5 9 3
201,5 4 2 0 3
202,6 7 9 0 3
203,9 3 0 4 1
204,1 3 2 6 5
205,8 7 0 2 5
206,7 9 5 3 2
207,7 0 6 5 4
208,9 3 8 6 0
209,3 5 6 7 2
210,9 8 0 3 6
211,1 0 5 4 3
212,0 2 4 9 3
213,4 1 0 3 6
214,2 6 0 1 4
215,6 7 8 5 1
216,1 9 5 6 0
217,8 1 0 3 9
218,3 9 0 6 7
219,8 7 0 3 6
220,4 9 1 2 5
221,1 4 2 0 9
222,3 4 2 8 9
223,2 6 7 3 9
224,9 2 4 6 5
225,3 1 9 5 8
226,2 7 5 8 3
227,0 1 4 3 5
228,4 1 3 2 8
229,3 7 9 5 2
230,3 4 7 6 5
231,3 0 7 4 2
232,1 7 2 4 0
233,9 5 7 0 6
234,2 6 8 3 1
235,8 3 9 2 1
236,6 2 3 4 5
237,2 4 3 8 0
238,8 9 5 7 4
239,8 5 7 1 0
240,7 0 9 6 2
241,8 4 0 3 1
242,2 7 9 4 6
243,1 0 5 9 4
244,5 1 2 9 6
245,1 5 8 7 0
246,0 4 9 6 1
247,4 7 8 6 9
248,2 6 5 9 1
249,0 6 1 8 2
250,1 9 0 6 7
251,1 5 2 4 7
252,2 4 6 9 7
253,7 2 8 3 5
254,7 5 3 8 2
255,3 5 8 7 1
256,5 7 4 9 8
257,3 4 7 2 9
258,0 2 6 8 9
259,7 8 2 0 1
260,2 9 0 4 1
261,1 7 4 0 9
262,2 3 1 8 7
263,3 2 6 1 8
264,3 1 4 9 7
265,7 0 8 9 3
266,1 8 9 7 6
267,2 7 9 3 6
268,4 2 0 8 7
269,7 4 3 6 0
270,8 1 4 5 0
271,0 7 1 2 4
272,8 4 5 3 9
273,7 9 8 2 6
274,1 0 5 2 3
275,2 5 0 8 9
276,1 6 8 3 5
277,9 7 5 1 4
278,3 5 7 2 6
279,9 8 3 4 7
280,7 0 6 8 1
281,3 5 8 1 9
282,5 8 4 1 2
283,2 7 5 9 8
284,8 5 4 9 2
285,3 8 1 9 4
286,2 5 1 0 8
287,4 3 0 1 2
288,4 0 2 1 5
289,7 8 9 1 0
290,9 2 0 4 7
291,9 3 7 8 4
292,6 1 9 2 0
293,1 4 5 9 3
294,5 6 3 7 8
295,3 7 8 6 0
296,4 1 5 6 8
297,3 6 7 4 0
298,2 9 4 0 1
299,0 9 5 6 2
300,5 0 9 8 6
301,6 1 0 2 9
302,5 6 1 8 2
303,3 8 5 7 2
304,0 2 9 7 3
305,0 3 7 2 4
306,9 7 2 3 6
307,8 0 3 7 5
308,9 3 5 7 8
309,2 9 3 7 1
310,1 2 0 9 3
311,4 0 7 5 9
312,4 8 2 6 1
313,3 1 7 8 4
314,2 4 9 7 8
315,7 5 9 2 6
316,1 5 6 2 3
317,9 0 7 8 5
318,1 0 9 2 7
319,2 1 6 9 5
320,0 9 6 1 5
321,2 3 4 6 8
322,1 2 5 6 0
323,9 6 5 4 1
324,8 1 6 4 2
325,3 4 6 2 9
326,3 5 7 2 1
327,7 0 5 3 4
328,6 4 9 3 2
329,2 3 5 0 6
330,3 6 8 2 0
331,0 7 5 8 3
332,2 8 0 5 7
333,6 7 1 5 8
334,3 8 5 7 6
335,1 3 2 6 5
336,3 9 4 5 7
337,0 6 7 3 8
338,9 0 2 5 1
339,3 4 2 8 0
340,8 6 0 5 3
341,0 2 6 5 4
342,3 0 6 2 5
343,4 8 1 5 3
344,9 4 0 2 5
345,2 7 3 6 0
346,9 0 1 5 7
347,8 6 7 4 9
348,8 7 1 0 3
349,5 6 9 3 2
350,3 2 8 9 7
351,0 3 1 9 7
352,2 5 4 8 9
353,0 7 9 2 6
354,7 0 2 1 6
355,0 7 3 9 1
356,7 5 8 0 4
357,2 7 8 0 4
358,6 1 9 4 7
359,7 3 6 0 5
360,7 3 5 4 6
361,6 2 3 4 7
362,7 3 0 9 1
363,6 5 1 2 3
364,0 6 2 9 5
365,5 4 7 9 1
366,9 3 7 1 8
367,4 7 2 3 8
368,8 7 6 0 9
369,2 9 7 1 4
370,5 4 9 0 7
371,2 6 4 9 7
372,4 6 8 1 7
373,6 5 4 2 8
374,6 4 9 8 1
375,2 1 9 8 5
376,6 5 9 0 7
377,3 0 6 9 2
378,9 7 6 8 4
379,3 7 1 8 9
380,4 3 8 5 0
381,4 6 2 0 8
382,6 2 3 5 8
383,5 4 7 6 9
384,5 8 4 3 2
385,9 5 2 8 4
386,1 0 3 5 9
387,8 0 1 4 9
388,8 1 7 6 3
389,9 5 0 6 8
390,7 1 0 2 4
391,1 7 0 2 3
392,9 8 6 2 1
393,1 2 5 0 3
394,5 6 4 0 8
395,5 0 9 1 3
396,3 1 5 6 8
397,8 6 5 9 0
398,5 1 7 3 9
399,0 3 6 9 4
400,9 1 8 4 6
401,7 8 0 3 5
402,1 0 7 8 5
403,4 5 7 1 0
404,5 3 1 4 2
405,1 8 5 9 0
406,9 1 5 0 4
407,2 8 7 0 1
408,7 2 8 4 5
409,7 2 1 3 4
410,9 1 6 0 8
411,0 8 2 4 7
412,9 8 2 4 0
413,1 5 8 2 0
414,3 8 2 4 5
415,4 7 9 8 2
416,9 2 5 0 7
417,6 8 9 4 7
418,2 0 1 4 3
419,5 6 2 4 7
420,4 8 9 2 6
421,5 4 6 3 7
422,6 5 2 9 3
423,7 8 4 5 9
424,3 0 6 9 2
425,3 8 5 4 7
426,8 6 1 2 7
427,4 3 9 0 6
428,2 6 9 3 7
429,8 5 1 6 3
430,8 1 7 2 0
431,1 0 8 7 2
432,8 0 2 3 7
433,9 0 6 8 1
434,4 9 2 6 3
435,1 7 9 2 6
436,7 6 1 4 2
437,0 4 8 1 5
438,1 0 2 7 6
439,8 4 5 7 3
440,3 8 4 1 2
441,4 9 3 7 6
442,7 8 1 0 9
443,8 4 5 9 1
444,0 1 6 4 9
445,4 5 9 8 0
446,8 2 0 4 3
447,0 4 9 7 1
448,4 1 7 2 5
449,7 1 9 5 3
450,7 0 4 6 3
451,8 3 2 0 1
452,7 6 2 4 0
453,6 7 8 9 5
454,0 5 1 9 2
455,2 4 7 8 0
456,8 5 1 9 2
457,0 5 6 1 8
458,2 5 6 0 7
459,8 7 6 0 1
460,9 2 8 7 4
461,8 6 2 9 7
462,5 1 3 9 0
463,6 9 2 3 7
464,1 4 6 7 8
465,2 8 4 7 6
466,8 2 3 9 6
467,3 2 9 4 7
468,3 6 7 5 9
469,1 3 0 2 7
470,7 2 0 8 1
471,1 4 6 9 8
472,8 0 5 7 6
473,4 8 9 2 6
474,1 9 6 2 3
475,6 5 3 9 2
476,5 8 9 4 3
477,2 9 7 8 3
478,7 2 1 5 3
479,4 2 0 7 1
480,4 8 5 1 7
481,7 4 3 0 8
482,1 3 7 5 0
483,4 8 2 9 3
484,8 9 1 4 7
485,1 6 8 9 5
486,2 7 8 3 0
487,7 5 3 9 0
488,0 3 7 9 5
489,1 9 8 7 3
490,1 9 4 8 5
491,6 1 5 0 7
492,0 7 4 1 5
493,3 2 1 8 7
494,9 3 6 2 4
495,9 5 0 2 7
496,0 5 7 2 6
497,0 1 2 8 7
498,2 7 0 9 1
499,3 2 1 5 6
500,3 6 4 0 5
501,0 3 7 1 9
502,1 0 6 3 4
503,2 6 5 7 4
504,7 3 6 1 4
505,2 6 1 0 5
