Round,ClientIndex,ExecutionTimeSeconds
0,0,10.119877
0,1,6.213811
0,2,10.486455
0,3,7.442724
0,4,9.623039
1,0,6.177953
1,1,7.836665
1,2,13.368444
1,3,5.905406
1,4,7.508206
2,0,1.341648
2,1,7.662943
2,2,6.092102
2,3,13.278435
2,4,4.672042
3,0,6.188713
3,1,1.329376
3,2,4.752657
3,3,13.190449
3,4,5.861612
4,0,7.257800
4,1,5.877006
4,2,4.646000
4,3,1.323614
4,4,13.212299
5,0,7.656656
5,1,9.675297
5,2,7.240597
5,3,5.895629
5,4,8.716971
6,0,5.822293
6,1,4.626387
6,2,8.734096
6,3,9.562239
6,4,6.093025
7,0,13.642276
7,1,1.365947
7,2,7.681589
7,3,8.633828
7,4,4.638455
8,0,13.214536
8,1,1.299906
8,2,4.675114
8,3,5.783987
8,4,7.037369
9,0,5.768640
9,1,1.281014
9,2,9.391845
9,3,4.613687
9,4,7.181162
10,0,8.592124
10,1,9.338326
10,2,12.922175
10,3,1.279748
10,4,4.538753
11,0,4.548767
11,1,9.390640
11,2,1.305574
11,3,7.817208
11,4,13.322427
12,0,7.515539
12,1,12.980120
12,2,7.078948
12,3,5.968772
12,4,5.772161
13,0,7.089638
13,1,13.072501
13,2,4.596619
13,3,8.449440
13,4,5.710667
14,0,8.472680
14,1,7.100899
14,2,9.425857
14,3,6.036623
14,4,12.918320
15,0,10.062100
15,1,5.772041
15,2,4.586543
15,3,13.099386
15,4,1.283123
16,0,9.325714
16,1,1.274078
16,2,7.601652
16,3,13.049811
16,4,5.772465
17,0,10.113813
17,1,7.540316
17,2,5.992269
17,3,7.132841
17,4,1.283124
18,0,9.384255
18,1,8.599597
18,2,7.571757
18,3,7.031935
18,4,5.954232
19,0,8.716562
19,1,1.291656
19,2,13.147728
19,3,9.385405
19,4,10.139216
20,0,5.815793
20,1,8.645603
20,2,1.303668
20,3,13.122937
20,4,7.552143
21,0,1.312014
21,1,8.641621
21,2,9.409873
21,3,4.622320
21,4,13.067859
22,0,10.277702
22,1,5.793261
22,2,1.287449
22,3,8.637988
22,4,13.101537
23,0,10.241853
23,1,9.468133
23,2,4.749749
23,3,13.200957
23,4,5.848877
24,0,9.342535
24,1,7.040406
24,2,5.993469
24,3,7.557133
24,4,13.065838
25,0,10.220968
25,1,1.306841
25,2,4.618917
25,3,13.141992
25,4,8.530215
26,0,5.709003
26,1,12.988208
26,2,8.543415
26,3,7.157570
26,4,9.383226
27,0,6.012509
27,1,5.755418
27,2,7.546639
27,3,8.823603
27,4,4.750340
28,0,10.426852
28,1,1.285860
28,2,5.731731
28,3,5.998765
28,4,7.527755
29,0,10.242610
29,1,7.732579
29,2,8.680905
29,3,1.295297
29,4,6.140088
30,0,7.673663
30,1,6.115528
30,2,9.443666
30,3,13.192282
30,4,1.312583
31,0,9.491027
31,1,10.435971
31,2,8.731788
31,3,6.049629
31,4,1.285309
32,0,7.112255
32,1,5.884038
32,2,10.341202
32,3,6.061625
32,4,8.654215
33,0,9.412463
33,1,4.655754
33,2,13.199823
33,3,7.240320
33,4,1.309443
34,0,1.311815
34,1,5.815586
34,2,4.605882
34,3,7.100262
34,4,10.220120
35,0,13.080468
35,1,4.707863
35,2,8.676865
35,3,5.797883
35,4,7.689447
36,0,6.049647
36,1,7.639638
36,2,5.775393
36,3,9.363294
36,4,1.284509
37,0,10.225196
37,1,7.080100
37,2,6.108998
37,3,4.855175
37,4,1.289127
38,0,7.550666
38,1,1.304582
38,2,4.610909
38,3,10.206191
38,4,9.452883
39,0,7.623078
39,1,12.934026
39,2,10.175578
39,3,8.548706
39,4,7.115490
40,0,4.647465
40,1,9.441095
40,2,7.140491
40,3,13.151687
40,4,8.531092
41,0,8.569105
41,1,5.873706
41,2,4.639740
41,3,12.982247
41,4,7.091525
42,0,5.983048
42,1,7.504000
42,2,13.314465
42,3,10.096483
42,4,1.294036
43,0,5.724193
43,1,5.944598
43,2,4.562108
43,3,1.277310
43,4,13.017232
44,0,4.614884
44,1,10.119738
44,2,1.265855
44,3,5.943153
44,4,9.345903
45,0,12.947495
45,1,10.393310
45,2,8.498244
45,3,1.302224
45,4,6.017543
46,0,5.997692
46,1,5.725838
46,2,10.124652
46,3,1.280514
46,4,8.444507
47,0,13.012318
47,1,4.636491
47,2,9.307155
47,3,8.551771
47,4,5.738341
48,0,13.013932
48,1,7.556368
48,2,5.837425
48,3,4.629027
48,4,8.502111
49,0,7.082228
49,1,13.071407
49,2,9.424691
49,3,10.401595
49,4,1.319438
50,0,8.822709
50,1,9.416270
50,2,4.587052
50,3,1.282444
50,4,13.024111
51,0,7.117040
51,1,9.441901
51,2,5.995487
51,3,5.985251
51,4,13.201689
52,0,8.577619
52,1,7.532900
52,2,5.693543
52,3,12.951722
52,4,4.652035
53,0,9.389165
53,1,1.314636
53,2,13.013882
53,3,8.654737
53,4,6.058496
54,0,10.138051
54,1,4.557587
54,2,5.987428
54,3,5.757601
54,4,9.433853
55,0,6.048435
55,1,1.286950
55,2,7.103165
55,3,13.157899
55,4,7.537586
56,0,5.795736
56,1,8.563599
56,2,5.959633
56,3,10.130939
56,4,9.396104
57,0,6.060213
57,1,10.204242
57,2,1.310017
57,3,13.069381
57,4,7.504725
58,0,5.920429
58,1,9.538325
58,2,7.299058
58,3,1.329948
58,4,13.076013
59,0,6.029477
59,1,1.302434
59,2,7.525139
59,3,10.140755
59,4,8.571164
60,0,1.281039
60,1,7.157802
60,2,6.113506
60,3,13.148155
60,4,8.567387
61,0,8.609319
61,1,5.783055
61,2,12.981375
61,3,4.626804
61,4,9.479280
62,0,9.426873
62,1,5.818509
62,2,10.156198
62,3,1.273793
62,4,13.061720
63,0,13.012342
63,1,6.119956
63,2,5.915440
63,3,1.303489
63,4,8.620717
64,0,1.293977
64,1,4.660582
64,2,7.150696
64,3,8.502302
64,4,9.397417
65,0,1.291456
65,1,10.252680
65,2,6.112113
65,3,7.788128
65,4,6.003277
66,0,4.622042
66,1,5.793979
66,2,10.209716
66,3,7.121664
66,4,8.607365
67,0,7.231989
67,1,9.482448
67,2,5.829847
67,3,10.206827
67,4,7.623944
68,0,10.249533
68,1,4.617223
68,2,13.187253
68,3,5.787451
68,4,7.130627
69,0,10.304854
69,1,6.035004
69,2,7.574675
69,3,7.128902
69,4,9.384955
70,0,10.229459
70,1,6.056255
70,2,9.464325
70,3,1.296221
70,4,5.813963
71,0,7.098896
71,1,6.044372
71,2,4.643533
71,3,10.531768
71,4,9.486465
72,0,5.788662
72,1,10.212183
72,2,6.053509
72,3,1.293147
72,4,13.114089
73,0,7.182717
73,1,9.504289
73,2,1.286964
73,3,6.032407
73,4,10.290580
74,0,7.161445
74,1,4.604753
74,2,6.027420
74,3,9.364508
74,4,1.280469
75,0,10.237757
75,1,7.199977
75,2,7.633505
75,3,4.621574
75,4,5.826585
76,0,6.005405
76,1,7.572140
76,2,7.088687
76,3,13.157551
76,4,9.441113
77,0,9.374168
77,1,5.769173
77,2,13.077104
77,3,7.602206
77,4,10.167493
78,0,12.930657
78,1,7.067798
78,2,5.974298
78,3,8.565634
78,4,9.366982
79,0,10.124825
79,1,9.480108
79,2,7.413984
79,3,1.277715
79,4,5.976294
80,0,1.278311
80,1,12.928860
80,2,7.519547
80,3,8.682616
80,4,4.625327
81,0,8.833988
81,1,1.277799
81,2,9.315322
81,3,4.561821
81,4,13.024601
82,0,9.630121
82,1,8.491761
82,2,10.178927
82,3,5.763653
82,4,6.013137
83,0,13.015790
83,1,7.527551
83,2,5.997428
83,3,10.153257
83,4,1.289003
84,0,5.771766
84,1,8.616368
84,2,13.119754
84,3,6.207624
84,4,4.631857
85,0,10.230025
85,1,12.998578
85,2,9.456733
85,3,1.321675
85,4,7.613492
86,0,7.539614
86,1,5.728121
86,2,13.069837
86,3,9.486449
86,4,8.648669
87,0,9.418656
87,1,7.028844
87,2,13.089381
87,3,1.300735
87,4,10.400270
88,0,10.115935
88,1,13.003386
88,2,4.668649
88,3,6.011026
88,4,8.548346
89,0,13.038816
89,1,5.808311
89,2,4.580852
89,3,7.151695
89,4,7.574526
90,0,8.634550
90,1,9.460302
90,2,10.455855
90,3,5.926750
90,4,13.250907
91,0,9.368013
91,1,13.089603
91,2,8.525644
91,3,5.813286
91,4,4.583809
92,0,13.138650
92,1,10.137762
92,2,7.540394
92,3,4.569461
92,4,7.194482
93,0,7.116926
93,1,10.197891
93,2,8.586359
93,3,9.387992
93,4,5.868919
94,0,8.553547
94,1,7.629795
94,2,9.349779
94,3,7.208250
94,4,13.289368
95,0,1.310147
95,1,13.020743
95,2,10.322345
95,3,8.618434
95,4,9.463755
96,0,1.290460
96,1,5.870123
96,2,13.152073
96,3,7.258837
96,4,7.624522
97,0,7.136657
97,1,13.048561
97,2,4.586617
97,3,1.270638
97,4,5.723006
98,0,10.306282
98,1,9.427231
98,2,6.003297
98,3,8.619969
98,4,1.313574
99,0,6.025545
99,1,4.596367
99,2,7.540693
99,3,5.857746
99,4,9.513873
100,0,10.175496
100,1,4.648525
100,2,8.621542
100,3,9.420626
100,4,6.073425
101,0,13.070604
101,1,4.670105
101,2,10.458542
101,3,9.498548
101,4,7.102177
102,0,7.110462
102,1,8.547511
102,2,10.277681
102,3,4.649564
102,4,9.486986
103,0,1.280632
103,1,7.594577
103,2,9.475780
103,3,6.016706
103,4,4.632367
104,0,13.159784
104,1,7.621228
104,2,1.300318
104,3,7.188085
104,4,5.755382
105,0,8.757587
105,1,4.682549
105,2,9.429415
105,3,5.865722
105,4,13.071560
106,0,6.025800
106,1,7.694200
106,2,9.550098
106,3,7.129781
106,4,13.144188
107,0,1.292651
107,1,6.137064
107,2,7.148108
107,3,4.675365
107,4,8.732695
108,0,1.295156
108,1,9.502222
108,2,5.978724
108,3,8.647242
108,4,10.196748
109,0,10.256055
109,1,4.661353
109,2,9.530568
109,3,8.714134
109,4,7.610884
110,0,9.518848
110,1,13.152421
110,2,7.652642
110,3,8.718432
110,4,6.078258
111,0,8.644838
111,1,7.191973
111,2,7.695892
111,3,4.640353
111,4,5.801125
112,0,1.284399
112,1,6.085281
112,2,4.682603
112,3,6.043394
112,4,7.565957
113,0,4.760870
113,1,5.835658
113,2,8.635418
113,3,7.632949
113,4,10.077478
114,0,7.203172
114,1,1.286627
114,2,4.636576
114,3,10.318552
114,4,7.518745
115,0,8.662817
115,1,9.411320
115,2,13.192845
115,3,4.661511
115,4,6.008690
116,0,8.590067
116,1,13.158330
116,2,5.983118
116,3,4.567365
116,4,9.436665
117,0,4.585898
117,1,9.469740
117,2,5.788213
117,3,6.060408
117,4,1.308147
118,0,7.103572
118,1,8.634108
118,2,1.295023
118,3,4.589017
118,4,5.747863
119,0,7.258327
119,1,10.229475
119,2,5.776083
119,3,8.846667
119,4,7.783741
120,0,6.028101
120,1,9.447893
120,2,4.657267
120,3,10.170708
120,4,8.547814
121,0,13.035683
121,1,7.628056
121,2,5.731404
121,3,1.317596
121,4,7.099421
122,0,1.273303
122,1,6.053139
122,2,7.364394
122,3,10.156729
122,4,5.734230
123,0,10.318860
123,1,1.299717
123,2,13.096789
123,3,5.723987
123,4,8.466370
124,0,4.590564
124,1,7.068215
124,2,5.837448
124,3,8.718522
124,4,7.833502
125,0,8.598684
125,1,13.029531
125,2,7.617135
125,3,5.774433
125,4,1.353176
126,0,5.929602
126,1,7.064296
126,2,7.568206
126,3,8.538735
126,4,6.042325
127,0,10.205518
127,1,1.272815
127,2,4.587940
127,3,13.049361
127,4,8.564236
128,0,9.340760
128,1,8.643123
128,2,10.199047
128,3,5.888465
128,4,13.144832
129,0,7.162850
129,1,9.383115
