Round, Client Index, Execution Time (s)
1, 0, 28.7695
1, 1, 36.5658
1, 2, 47.9973
1, 3, 60.4045
1, 4, 17.5193
1, 5, 82.2305
2, 0, 10.4591
2, 1, 74.0774
2, 2, 21.0523
2, 3, 63.7892
2, 4, 38.3813
2, 5, 53.0726
3, 0, 27.6878
3, 1, 38.0534
3, 2, 11.4999
3, 3, 77.5346
3, 4, 65.7400
3, 5, 47.3532
4, 0, 72.2048
4, 1, 30.3189
4, 2, 21.2246
4, 3, 11.1600
4, 4, 61.9087
4, 5, 48.1892
5, 0, 70.3769
5, 1, 24.9213
5, 2, 52.1680
5, 3, 14.5739
5, 4, 81.8388
5, 5, 36.1400
6, 0, 78.1284
6, 1, 53.7019
6, 2, 67.5136
6, 3, 8.9143
6, 4, 41.9571
6, 5, 24.1026
7, 0, 22.7862
7, 1, 43.8224
7, 2, 9.0940
7, 3, 77.3550
7, 4, 59.2857
7, 5, 33.4172
8, 0, 36.0804
8, 1, 15.1112
8, 2, 53.8360
8, 3, 75.5467
8, 4, 63.7505
8, 5, 24.5706
9, 0, 33.9871
9, 1, 51.4589
9, 2, 61.6764
9, 3, 11.8479
9, 4, 72.5438
9, 5, 22.7918
10, 0, 53.1287
10, 1, 31.1292
10, 2, 10.5545
10, 3, 21.0951
10, 4, 42.6754
10, 5, 70.5868
11, 0, 20.5747
11, 1, 32.2947
11, 2, 61.7437
11, 3, 52.7716
11, 4, 43.0612
11, 5, 10.6928
12, 0, 50.5765
12, 1, 11.4580
12, 2, 36.7067
12, 3, 61.1827
12, 4, 78.1032
12, 5, 27.0334
13, 0, 56.9797
13, 1, 20.2088
13, 2, 70.4628
13, 3, 9.7669
13, 4, 37.9690
13, 5, 48.2718
14, 0, 10.4042
14, 1, 70.7130
14, 2, 45.6306
14, 3, 56.9176
14, 4, 30.7475
14, 5, 20.8980
15, 0, 10.5462
15, 1, 62.7916
15, 2, 72.8436
15, 3, 21.1938
15, 4, 48.0974
15, 5, 32.2566
16, 0, 58.0228
16, 1, 72.8225
16, 2, 48.1926
16, 3, 38.0645
16, 4, 20.9065
16, 5, 10.4177
17, 0, 18.6773
17, 1, 38.6006
17, 2, 49.7538
17, 3, 72.1130
17, 4, 27.9698
17, 5, 61.9763
18, 0, 15.5819
18, 1, 51.8806
18, 2, 62.3813
18, 3, 72.3127
18, 4, 34.6969
18, 5, 25.9922
19, 0, 17.8127
19, 1, 54.6351
19, 2, 79.7967
19, 3, 43.7968
19, 4, 63.8429
19, 5, 32.2771
20, 0, 41.4602
20, 1, 10.9649
20, 2, 61.4205
20, 3, 52.3874
20, 4, 75.2043
20, 5, 29.5701
21, 0, 31.9415
21, 1, 71.7487
21, 2, 47.5993
21, 3, 57.4661
21, 4, 9.2911
21, 5, 20.0760
22, 0, 22.0876
22, 1, 46.6950
22, 2, 57.5893
22, 3, 31.8619
22, 4, 11.7280
22, 5, 69.0238
23, 0, 78.3894
23, 1, 15.2805
23, 2, 68.1319
23, 3, 54.3767
23, 4, 32.6883
23, 5, 43.9367
24, 0, 64.2492
24, 1, 17.9584
24, 2, 74.6028
24, 3, 52.8687
24, 4, 38.5402
24, 5, 28.6943
25, 0, 59.5666
25, 1, 11.4340
25, 2, 48.9056
25, 3, 40.1609
25, 4, 73.1277
25, 5, 29.3643
26, 0, 8.6269
26, 1, 73.8752
26, 2, 45.4965
26, 3, 30.8672
26, 4, 19.4620
26, 5, 56.0393
27, 0, 21.0377
27, 1, 58.3622
27, 2, 47.3938
27, 3, 10.9997
27, 4, 32.1046
27, 5, 76.3908
28, 0, 48.0792
28, 1, 38.0631
28, 2, 62.0189
28, 3, 26.7271
28, 4, 15.8828
28, 5, 72.5292
29, 0, 34.6216
29, 1, 44.6696
29, 2, 70.8939
29, 3, 59.8906
29, 4, 20.5785
29, 5, 11.7170
30, 0, 20.2615
30, 1, 66.7112
30, 2, 55.8014
30, 3, 9.1295
30, 4, 45.7043
30, 5, 31.6243
31, 0, 40.9137
31, 1, 78.4224
31, 2, 51.3218
31, 3, 9.1661
31, 4, 62.2146
31, 5, 22.8876
32, 0, 53.9360
32, 1, 63.5516
32, 2, 45.0135
32, 3, 74.1455
32, 4, 26.8570
32, 5, 11.2740
33, 0, 63.4737
33, 1, 47.5542
33, 2, 74.3596
33, 3, 11.3921
33, 4, 22.0853
33, 5, 33.2588
34, 0, 10.2896
34, 1, 73.3285
34, 2, 38.2667
34, 3, 27.9654
34, 4, 57.8235
34, 5, 48.8247
35, 0, 25.9194
35, 1, 45.9230
35, 2, 67.7084
35, 3, 56.4315
35, 4, 10.7216
35, 5, 34.9604
36, 0, 51.9095
36, 1, 66.5425
36, 2, 41.6356
36, 3, 31.8065
36, 4, 21.3031
36, 5, 11.5628
37, 0, 65.1478
37, 1, 56.1729
37, 2, 24.4007
37, 3, 10.8039
37, 4, 34.5791
37, 5, 45.2438
38, 0, 56.7158
38, 1, 67.9121
38, 2, 10.3554
38, 3, 39.5664
38, 4, 29.4260
38, 5, 19.0513
39, 0, 72.1725
39, 1, 61.3685
39, 2, 10.8772
39, 3, 27.6849
39, 4, 51.3669
39, 5, 41.2322
40, 0, 32.9239
40, 1, 47.9112
40, 2, 78.2667
40, 3, 15.0458
40, 4, 69.7605
40, 5, 59.2360
41, 0, 10.3037
41, 1, 21.3162
41, 2, 31.7556
41, 3, 62.1435
41, 4, 48.0392
41, 5, 73.0139
42, 0, 11.4884
42, 1, 68.3694
42, 2, 49.3335
42, 3, 38.5599
42, 4, 28.2224
42, 5, 59.6006
43, 0, 55.8363
43, 1, 34.3485
43, 2, 23.0567
43, 3, 64.7617
43, 4, 11.0062
43, 5, 45.5836
44, 0, 55.9038
44, 1, 65.7273
44, 2, 35.2206
44, 3, 20.8679
44, 4, 44.2326
44, 5, 9.9883
45, 0, 11.1483
45, 1, 45.9135
45, 2, 36.0801
45, 3, 21.8933
45, 4, 75.3843
45, 5, 57.1866
46, 0, 73.6902
46, 1, 39.7570
46, 2, 17.9195
46, 3, 62.4659
46, 4, 50.9848
46, 5, 28.2720
47, 0, 39.1121
47, 1, 53.8100
47, 2, 62.4098
47, 3, 10.5671
47, 4, 76.2030
47, 5, 21.4179
48, 0, 52.5165
48, 1, 67.5205
48, 2, 10.6065
48, 3, 21.4042
48, 4, 32.3640
48, 5, 41.3621
49, 0, 13.5187
49, 1, 67.2766
49, 2, 48.8972
49, 3, 39.5844
49, 4, 78.5645
49, 5, 28.8177
50, 0, 22.6500
50, 1, 47.7203
50, 2, 11.9972
50, 3, 79.4659
50, 4, 32.8057
50, 5, 65.2549
51, 0, 72.1675
51, 1, 16.9330
51, 2, 60.8034
51, 3, 36.6109
51, 4, 25.8520
51, 5, 47.1703
52, 0, 76.4842
52, 1, 61.1072
52, 2, 40.3129
52, 3, 11.8282
52, 4, 50.1214
52, 5, 29.2913
53, 0, 31.5709
53, 1, 57.1826
53, 2, 42.0439
53, 3, 70.8027
53, 4, 11.0696
53, 5, 21.0616
54, 0, 40.0466
54, 1, 75.3185
54, 2, 11.8157
54, 3, 64.6958
54, 4, 49.8538
54, 5, 30.1259
55, 0, 55.8277
55, 1, 47.3250
55, 2, 36.1858
55, 3, 66.6027
55, 4, 11.1543
55, 5, 21.2844
56, 0, 71.7039
56, 1, 10.1870
56, 2, 46.6345
56, 3, 35.7149
56, 4, 18.9624
56, 5, 61.4902
57, 0, 53.1179
57, 1, 42.8237
57, 2, 61.7813
57, 3, 75.7025
57, 4, 27.5164
57, 5, 10.1691
58, 0, 10.2946
58, 1, 73.2267
58, 2, 19.2947
58, 3, 55.9309
58, 4, 29.7554
58, 5, 40.8005
59, 0, 42.2584
59, 1, 55.8223
59, 2, 10.3090
59, 3, 31.0475
59, 4, 20.7217
59, 5, 66.3368
60, 0, 53.9767
60, 1, 25.0936
60, 2, 42.4664
60, 3, 78.9824
60, 4, 69.0521
60, 5, 11.2470
61, 0, 40.9245
61, 1, 30.5072
61, 2, 69.2144
61, 3, 21.7920
61, 4, 51.4238
61, 5, 10.2237
62, 0, 37.3691
62, 1, 58.3227
62, 2, 11.9133
62, 3, 47.5283
62, 4, 27.0768
62, 5, 68.9111
63, 0, 11.5674
63, 1, 21.6781
63, 2, 48.4920
63, 3, 73.3703
63, 4, 33.3239
63, 5, 59.2305
64, 0, 73.0608
64, 1, 17.4257
64, 2, 52.4187
64, 3, 27.6334
64, 4, 38.8341
64, 5, 63.2644
65, 0, 52.7951
65, 1, 42.4039
65, 2, 63.0408
65, 3, 11.2571
65, 4, 20.1963
65, 5, 31.1657
66, 0, 12.2040
66, 1, 35.6083
66, 2, 20.7540
66, 3, 67.2122
66, 4, 56.4678
66, 5, 46.0867
67, 0, 29.0584
67, 1, 61.5987
67, 2, 39.4320
67, 3, 49.7292
67, 4, 13.8985
67, 5, 70.3883
68, 0, 33.5514
68, 1, 44.3462
68, 2, 13.7303
68, 3, 55.0310
68, 4, 63.5359
68, 5, 23.4241
69, 0, 19.0965
69, 1, 73.6228
69, 2, 55.9619
69, 3, 10.3354
69, 4, 40.6526
69, 5, 29.8497
70, 0, 75.3161
70, 1, 39.8230
70, 2, 53.9126
70, 3, 27.5754
70, 4, 10.0927
70, 5, 64.4475
71, 0, 19.1669
71, 1, 44.1429
71, 2, 55.2720
71, 3, 30.2787
71, 4, 70.9761
71, 5, 8.8476
72, 0, 72.8788
72, 1, 36.5044
72, 2, 46.8920
72, 3, 57.5007
72, 4, 13.9016
72, 5, 24.7301
73, 0, 31.8728
73, 1, 67.0832
73, 2, 56.2455
