Round, Client Index, Execution Time (s)
0, 0, 37.0665
0, 1, 27.1310
0, 2, 8.8012
0, 3, 17.2005
0, 4, 23.3876
1, 0, 10.0045
1, 1, 40.2043
1, 2, 19.6363
1, 3, 25.7886
1, 4, 33.3114
2, 0, 23.2092
2, 1, 16.3196
2, 2, 32.8512
2, 3, 7.8536
2, 4, 39.3505
3, 0, 31.1663
3, 1, 23.2414
3, 2, 6.6014
3, 3, 40.8367
3, 4, 16.3491
4, 0, 27.4410
4, 1, 19.9307
4, 2, 10.2141
4, 3, 45.5290
4, 4, 37.0812
5, 0, 21.5769
5, 1, 8.0752
5, 2, 37.5512
5, 3, 11.8087
5, 4, 31.3920
6, 0, 9.8904
6, 1, 19.5328
6, 2, 43.7063
6, 3, 37.1996
6, 4, 27.4464
7, 0, 14.5235
7, 1, 24.3217
7, 2, 34.9450
7, 3, 31.2101
7, 4, 6.6414
8, 0, 39.7077
8, 1, 22.4898
8, 2, 6.2487
8, 3, 16.0264
8, 4, 29.9707
9, 0, 13.0632
9, 1, 6.1709
9, 2, 39.1311
9, 3, 22.8794
9, 4, 29.3810
10, 0, 6.2381
10, 1, 41.0460
10, 2, 33.1317
10, 3, 15.8634
10, 4, 25.6143
11, 0, 25.5779
11, 1, 15.6780
11, 2, 21.8405
11, 3, 7.7551
11, 4, 32.4827
12, 0, 27.5157
12, 1, 37.1380
12, 2, 13.5500
12, 3, 20.0056
12, 4, 9.8537
13, 0, 14.4075
13, 1, 24.1702
13, 2, 33.8807
13, 3, 8.2719
13, 4, 42.3350
14, 0, 26.0255
14, 1, 4.1570
14, 2, 19.5211
14, 3, 11.0579
14, 4, 33.5461
15, 0, 17.5673
15, 1, 24.0728
15, 2, 13.8352
15, 3, 33.7281
15, 4, 6.3091
16, 0, 14.1034
16, 1, 40.4199
16, 2, 33.5337
16, 3, 6.2456
16, 4, 23.8883
17, 0, 9.8473
17, 1, 35.3494
17, 2, 15.9866
17, 3, 43.8096
17, 4, 25.7062
18, 0, 21.6678
18, 1, 31.3833
18, 2, 41.0281
18, 3, 8.0610
18, 4, 15.5533
19, 0, 9.8750
19, 1, 18.3468
19, 2, 28.5871
19, 3, 22.0798
19, 4, 36.1189
20, 0, 14.4031
20, 1, 30.7694
20, 2, 22.8544
20, 3, 40.5205
20, 4, 8.2588
21, 0, 32.8561
21, 1, 42.6638
21, 2, 24.9517
21, 3, 8.3189
21, 4, 15.2076
22, 0, 11.6688
22, 1, 36.8402
22, 2, 7.9524
22, 3, 28.3711
22, 4, 18.5586
23, 0, 32.0282
23, 1, 22.2270
23, 2, 6.4953
23, 3, 12.6232
23, 4, 40.4717
24, 0, 10.9892
24, 1, 26.8032
24, 2, 17.1206
24, 3, 36.5797
24, 4, 7.2705
