Round, Client Index, Execution Time (s)
0, 0, 33.4114
0, 1, 84.2573
0, 2, 71.1280
0, 3, 41.5524
0, 4, 53.2942
0, 5, 65.8893
0, 6, 76.8154
1, 0, 18.1000
1, 1, 58.8077
1, 2, 7.9661
1, 3, 46.2714
1, 4, 29.7069
1, 5, 37.9845
1, 6, 34.6773
2, 0, 25.1775
2, 1, 42.0365
2, 2, 17.1219
2, 3, 4.9721
2, 4, 54.1905
2, 5, 36.4311
2, 6, 47.0003
3, 0, 34.1142
3, 1, 23.1716
3, 2, 18.1962
3, 3, 42.9872
3, 4, 12.6204
3, 5, 51.6900
3, 6, 26.4894
4, 0, 22.8100
4, 1, 32.2087
4, 2, 15.3025
4, 3, 49.3683
4, 4, 46.2055
4, 5, 38.0156
4, 6, 10.2797
5, 0, 38.8202
5, 1, 47.2890
5, 2, 42.1940
5, 3, 22.5450
5, 4, 29.8497
5, 5, 10.4250
5, 6, 5.6811
6, 0, 9.4598
6, 1, 32.5738
6, 2, 44.8383
6, 3, 54.9040
6, 4, 17.9644
6, 5, 6.0411
6, 6, 27.1693
7, 0, 5.2333
7, 1, 36.5157
7, 2, 29.5227
7, 3, 24.9072
7, 4, 55.6847
7, 5, 45.3352
7, 6, 13.4811
8, 0, 22.3242
8, 1, 7.2693
8, 2, 52.9931
8, 3, 40.1312
8, 4, 12.1727
8, 5, 28.0058
8, 6, 45.0563
9, 0, 13.7934
9, 1, 50.4779
9, 2, 5.6118
9, 3, 29.2702
9, 4, 21.9207
9, 5, 38.2509
9, 6, 16.9615
10, 0, 49.0794
10, 1, 6.0375
10, 2, 14.2812
10, 3, 17.6361
10, 4, 39.1233
10, 5, 29.3293
10, 6, 34.2001
11, 0, 28.7447
11, 1, 8.7234
11, 2, 43.0859
11, 3, 20.4081
11, 4, 53.2709
11, 5, 15.6806
11, 6, 31.9487
12, 0, 16.7973
12, 1, 42.4327
12, 2, 5.0614
12, 3, 22.4588
12, 4, 51.0924
12, 5, 34.4571
12, 6, 29.6006
13, 0, 49.5243
13, 1, 42.0621
13, 2, 25.8666
13, 3, 29.2533
13, 4, 20.1488
13, 5, 15.0902
13, 6, 4.8420
14, 0, 8.8027
14, 1, 53.0384
14, 2, 26.5276
14, 3, 18.5351
14, 4, 44.7953
14, 5, 37.7702
14, 6, 21.6574
15, 0, 11.5670
15, 1, 46.8967
15, 2, 34.5511
15, 3, 22.2474
15, 4, 16.6162
15, 5, 56.7981
15, 6, 43.6208
16, 0, 53.4614
16, 1, 28.5342
16, 2, 39.9677
16, 3, 20.5693
16, 4, 25.4103
16, 5, 44.7098
16, 6, 12.3447
17, 0, 57.7421
17, 1, 30.3717
17, 2, 20.4355
17, 3, 8.5795
17, 4, 48.2482
17, 5, 51.6770
17, 6, 43.1497
18, 0, 8.4470
18, 1, 45.1050
18, 2, 52.1865
18, 3, 29.3829
18, 4, 11.7616
18, 5, 17.3880
18, 6, 40.2489
19, 0, 20.7210
19, 1, 32.4983
19, 2, 49.7789
19, 3, 5.0710
19, 4, 29.2689
19, 5, 9.7324
19, 6, 37.9870
20, 0, 10.6832
20, 1, 35.9068
20, 2, 20.5136
20, 3, 23.6243
20, 4, 44.9299
20, 5, 5.9583
20, 6, 28.5096
21, 0, 40.6873
21, 1, 28.9477
21, 2, 46.2996
21, 3, 17.7133
21, 4, 12.6120
21, 5, 7.5194
21, 6, 37.5525
22, 0, 51.4374
22, 1, 39.9061
22, 2, 8.9467
22, 3, 25.8472
22, 4, 31.6301
22, 5, 58.7220
22, 6, 13.8600
23, 0, 41.4286
23, 1, 28.5469
23, 2, 38.3088
23, 3, 11.6774
23, 4, 16.5310
23, 5, 4.7197
23, 6, 50.0468
24, 0, 24.2212
24, 1, 30.1810
24, 2, 53.5551
24, 3, 4.9816
24, 4, 44.5874
24, 5, 41.1225
24, 6, 16.1968
25, 0, 29.7318
25, 1, 15.3461
25, 2, 52.9334
25, 3, 41.8631
25, 4, 20.8727
25, 5, 57.5245
25, 6, 5.3322
26, 0, 29.0374
26, 1, 53.7465
26, 2, 23.4475
26, 3, 8.3416
26, 4, 48.5152
26, 5, 41.1216
26, 6, 11.6640
27, 0, 31.3234
27, 1, 41.6837
27, 2, 45.0002
27, 3, 9.7838
27, 4, 21.3714
27, 5, 26.5360
27, 6, 53.2779
28, 0, 8.4406
28, 1, 35.7771
28, 2, 41.4773
28, 3, 19.9704
28, 4, 58.3839
28, 5, 46.2497
28, 6, 27.0514
29, 0, 40.8064
29, 1, 25.0857
29, 2, 7.7387
29, 3, 30.2072
29, 4, 12.5666
29, 5, 44.3736
29, 6, 55.9359
30, 0, 6.2874
30, 1, 49.0408
30, 2, 17.9816
30, 3, 28.2935
30, 4, 33.0442
30, 5, 36.2055
30, 6, 44.2020
31, 0, 11.5476
31, 1, 18.9210
31, 2, 34.2554
31, 3, 28.6393
31, 4, 46.8151
31, 5, 23.7415
31, 6, 55.2094
32, 0, 20.4928
32, 1, 9.1434
32, 2, 55.5238
32, 3, 47.4527
32, 4, 23.6425
32, 5, 35.3266
32, 6, 30.6867
33, 0, 19.7898
33, 1, 10.8189
33, 2, 35.2664
33, 3, 5.9655
33, 4, 52.9066
33, 5, 42.5348
33, 6, 31.9938
34, 0, 29.2105
34, 1, 34.2037
34, 2, 44.3782
34, 3, 55.1593
34, 4, 50.2274
34, 5, 20.2976
34, 6, 12.7898
35, 0, 36.7639
35, 1, 4.8074
35, 2, 23.6268
35, 3, 30.9151
35, 4, 40.0657
35, 5, 48.4843
35, 6, 14.7213
36, 0, 38.0849
36, 1, 22.0123
36, 2, 5.7882
36, 3, 11.7985
36, 4, 58.2049
36, 5, 46.2114
36, 6, 29.3962
37, 0, 29.6303
37, 1, 43.5906
37, 2, 57.0357
37, 3, 34.5322
37, 4, 5.5264
37, 5, 50.9730
37, 6, 17.9155
38, 0, 52.2447
38, 1, 59.2715
38, 2, 27.3544
38, 3, 16.7873
38, 4, 33.0521
38, 5, 13.3517
38, 6, 41.0238
39, 0, 44.1292
39, 1, 18.1966
39, 2, 35.7467
39, 3, 30.4716
39, 4, 10.6239
39, 5, 5.8962
39, 6, 27.1886
40, 0, 43.5046
40, 1, 49.2067
40, 2, 17.9057
40, 3, 21.1096
40, 4, 33.1766
40, 5, 8.7649
40, 6, 54.1870
41, 0, 44.1527
41, 1, 49.1771
41, 2, 54.6747
41, 3, 32.8069
41, 4, 22.3814
41, 5, 25.5850
41, 6, 10.1942
42, 0, 23.5999
42, 1, 3.2166
42, 2, 30.5525
42, 3, 36.3303
42, 4, 14.9436
42, 5, 49.7172
42, 6, 44.9023
43, 0, 61.2252
43, 1, 49.9175
43, 2, 30.2108
43, 3, 58.0002
43, 4, 41.3924
43, 5, 13.2199
43, 6, 20.3139
44, 0, 13.7034
44, 1, 5.1639
44, 2, 20.8693
44, 3, 26.1159
44, 4, 48.5096
44, 5, 42.1814
44, 6, 29.4388
45, 0, 6.2167
45, 1, 54.6482
45, 2, 23.2853
45, 3, 15.0098
45, 4, 33.3015
45, 5, 38.1152
45, 6, 42.7400
46, 0, 54.8713
46, 1, 10.4564
46, 2, 25.4230
46, 3, 19.5506
46, 4, 37.7460
46, 5, 32.8069
46, 6, 42.8632
47, 0, 48.9775
47, 1, 59.4923
47, 2, 33.8413
47, 3, 23.0051
47, 4, 43.1148
47, 5, 26.3012
47, 6, 11.0068
48, 0, 45.9421
48, 1, 50.5520
48, 2, 7.5917
48, 3, 11.0155
48, 4, 20.0105
48, 5, 34.6570
48, 6, 29.7811
49, 0, 22.3408
49, 1, 33.3242
49, 2, 46.7289
49, 3, 42.0570
49, 4, 52.3135
49, 5, 12.4043
49, 6, 60.3003
50, 0, 23.8053
50, 1, 16.8371
50, 2, 33.2133
50, 3, 8.7224
50, 4, 28.3813
50, 5, 48.7456
50, 6, 36.4107
