Round,ClientIndex,ExecutionTime(s)
1,0,62.121455
1,1,32.049332
1,2,60.800536
1,3,66.444704
1,4,71.862695
2,0,43.964871
2,1,46.889461
2,2,32.951656
2,3,28.491457
2,4,47.007888
3,0,68.843076
3,1,68.883150
3,2,57.127612
3,3,68.982781
3,4,46.513180
4,0,24.423620
4,1,46.155908
4,2,42.296906
4,3,37.635930
4,4,52.534624
5,0,37.764040
5,1,39.907740
5,2,41.859244
5,3,39.503844
5,4,29.280139
6,0,25.384621
6,1,50.314740
6,2,55.337874
6,3,57.442087
6,4,31.587630
7,0,24.117225
7,1,31.893287
7,2,33.393101
7,3,42.552597
7,4,37.097262
8,0,33.784420
8,1,55.397052
8,2,54.836606
8,3,45.496885
8,4,50.805963
9,0,37.723309
9,1,58.744992
9,2,58.834172
9,3,32.144042
9,4,43.439398
10,0,24.995288
10,1,55.776922
10,2,58.622422
10,3,56.049641
10,4,51.986069
11,0,35.058464
11,1,42.808735
11,2,34.489072
11,3,35.221722
11,4,46.258360
12,0,56.915704
12,1,63.808828
12,2,36.308214
12,3,62.456047
12,4,22.858064
13,0,43.599418
13,1,49.919808
13,2,25.436594
13,3,37.432552
13,4,33.529395
14,0,25.966638
14,1,41.687336
14,2,63.769154
14,3,47.955005
14,4,57.992548
15,0,33.932138
15,1,46.950342
15,2,21.724549
15,3,29.515039
15,4,47.636556
16,0,23.147656
16,1,32.889968
16,2,54.389624
16,3,32.126390
16,4,52.489485
17,0,32.620619
17,1,41.831516
17,2,35.642907
17,3,43.634702
17,4,43.836574
18,0,48.950381
18,1,27.335874
18,2,38.457370
18,3,43.652679
18,4,34.811083
19,0,40.120735
19,1,31.686743
19,2,33.767031
19,3,37.619593
19,4,31.936996
20,0,35.792092
20,1,46.480536
20,2,34.005819
20,3,42.587817
20,4,35.950818
21,0,40.922802
21,1,45.323344
21,2,52.679446
21,3,41.584625
21,4,32.363342
22,0,28.356986
22,1,38.754073
22,2,37.345176
22,3,28.043017
22,4,40.018934
23,0,35.787802
23,1,44.659431
23,2,48.973947
23,3,46.321957
23,4,49.812775
24,0,37.788381
24,1,53.637455
24,2,33.862962
24,3,57.642768
24,4,32.094781
25,0,49.243197
25,1,48.638581
25,2,55.083616
25,3,22.639815
25,4,41.620543
26,0,28.623319
26,1,35.801919
26,2,48.182280
26,3,32.951513
26,4,28.418816
27,0,33.761216
27,1,41.014848
27,2,24.635971
27,3,43.310465
27,4,47.074214
28,0,52.787522
28,1,35.112523
28,2,44.863380
28,3,44.221682
28,4,45.129984
29,0,46.276527
29,1,52.850836
29,2,22.772358
29,3,39.037316
29,4,30.151238
30,0,31.753887
30,1,46.267728
30,2,41.029754
30,3,51.607455
30,4,60.420221
31,0,31.018812
31,1,41.504374
31,2,25.158269
31,3,26.983645
31,4,33.881586
32,0,51.619832
32,1,51.044847
32,2,28.714926
32,3,52.754715
32,4,60.454378
33,0,22.472649
33,1,41.434403
33,2,33.279494
33,3,36.331206
33,4,35.913937
34,0,31.524864
34,1,25.224552
34,2,55.907086
34,3,57.621304
34,4,59.054076
35,0,28.226819
35,1,28.735555
35,2,36.277626
35,3,56.722082
35,4,53.367763
36,0,37.702934
36,1,28.962816
36,2,55.249184
36,3,44.480427
36,4,47.492181
37,0,24.442284
37,1,26.771018
37,2,28.169858
37,3,45.339887
37,4,32.573144
38,0,24.985476
38,1,48.265890
38,2,50.982917
38,3,42.075521
38,4,46.813463
39,0,43.166218
39,1,34.390871
39,2,41.525647
39,3,34.545534
39,4,32.378091
40,0,52.986987
40,1,49.554970
40,2,65.667691
40,3,56.220539
40,4,65.222570
41,0,55.972179
