Round,ClientIndex,ExecutionTime(s)
1,0,13.976007
1,1,15.677474
1,2,11.643717
1,3,7.547945
1,4,10.092449
2,0,14.979848
2,1,11.996409
2,2,13.817572
2,3,7.177207
2,4,9.805402
3,0,5.446178
3,1,9.640868
3,2,12.506652
3,3,8.475850
3,4,10.303329
4,0,13.803345
4,1,8.776031
4,2,10.311042
4,3,14.099000
4,4,4.176169
5,0,15.586777
5,1,7.687277
5,2,11.800420
5,3,16.517572
5,4,16.469686
6,0,14.557961
6,1,10.596437
6,2,12.202443
6,3,10.212202
6,4,13.535045
7,0,12.565624
7,1,9.101022
7,2,7.584127
7,3,10.574088
7,4,12.956780
8,0,11.597152
8,1,9.174128
8,2,9.415870
8,3,10.158854
8,4,6.841453
9,0,10.635183
9,1,9.563855
9,2,10.100244
9,3,13.624206
9,4,11.005944
10,0,10.968737
10,1,9.176563
10,2,4.759300
10,3,10.364728
10,4,8.517162
11,0,13.658156
11,1,6.973323
11,2,13.945199
11,3,14.949270
11,4,9.572827
12,0,8.758600
12,1,4.709591
12,2,12.037710
12,3,9.485088
12,4,10.857529
13,0,13.518921
13,1,11.012691
13,2,12.637056
13,3,14.914502
13,4,15.920182
14,0,10.281053
14,1,8.976019
14,2,5.721816
14,3,9.341909
14,4,8.353237
15,0,12.534727
15,1,11.564085
15,2,14.565880
15,3,15.584222
15,4,13.436631
16,0,10.386443
16,1,11.486812
16,2,4.774902
16,3,6.475994
16,4,9.038161
17,0,9.818038
17,1,13.684593
17,2,6.449312
17,3,14.532055
17,4,12.641423
18,0,4.185202
18,1,14.123544
18,2,15.183098
18,3,13.013373
18,4,8.696714
19,0,10.698548
19,1,7.577295
19,2,13.038238
19,3,12.626370
19,4,10.086468
20,0,14.697025
20,1,10.763007
20,2,14.507308
20,3,15.715339
20,4,6.439867
21,0,13.992412
21,1,12.304620
21,2,3.823901
21,3,13.242835
21,4,9.845251
22,0,7.073242
22,1,14.701066
22,2,14.146696
22,3,14.289554
22,4,10.768346
23,0,7.043230
23,1,10.464940
23,2,13.016359
23,3,9.169611
23,4,10.573221
24,0,11.837238
24,1,4.313841
24,2,11.887782
24,3,8.413832
24,4,7.480150
25,0,9.360301
25,1,12.801477
25,2,4.731808
25,3,12.489758
25,4,8.126120
26,0,12.033177
26,1,6.170792
26,2,4.447944
26,3,7.981276
26,4,10.209771
27,0,7.558521
27,1,10.688285
27,2,11.711905
27,3,13.953273
27,4,11.047179
28,0,5.522692
28,1,13.998103
28,2,11.372073
28,3,13.643626
28,4,9.929154
29,0,10.469013
29,1,8.947930
29,2,10.715988
29,3,9.149193
29,4,6.863827
30,0,11.104195
30,1,10.119274
30,2,6.717928
30,3,10.139029
30,4,4.913271
31,0,9.862757
31,1,9.768574
31,2,11.305740
31,3,12.632745
31,4,6.257668
32,0,9.071161
32,1,9.344297
32,2,7.742441
32,3,8.841173
32,4,4.651170
33,0,17.205994
33,1,13.400342
33,2,16.019894
33,3,12.446227
33,4,17.363278
34,0,8.483498
34,1,10.860024
34,2,9.277216
34,3,10.112434
34,4,3.957181
35,0,9.812747
35,1,6.233886
35,2,11.774728
35,3,8.620216
35,4,5.714128
36,0,10.737366
36,1,13.793866
36,2,4.830138
36,3,11.129148
36,4,12.825995
37,0,13.457386
37,1,11.676197
37,2,6.867013
37,3,4.485850
37,4,13.765535
38,0,13.380218
38,1,12.513889
38,2,11.287080
38,3,15.523295
38,4,15.770097
39,0,11.200210
39,1,13.441540
39,2,6.694050
39,3,14.262825
39,4,8.306148
40,0,8.656964
40,1,7.914922
40,2,8.632224
40,3,6.465524
40,4,4.813927
41,0,4.778201
41,1,9.434625
41,2,12.915122
41,3,12.196214
41,4,7.368908
42,0,10.220292
42,1,14.625498
42,2,10.528033
42,3,14.520204
42,4,8.386505
43,0,10.546577
43,1,10.285239
43,2,7.308796
43,3,13.075912
43,4,14.409024
44,0,10.136195
44,1,7.942625
44,2,11.553527
44,3,11.150612
44,4,13.136776
45,0,10.416524
45,1,4.339539
45,2,12.225113
45,3,11.736192
45,4,7.216160
46,0,7.219030
46,1,14.148834
46,2,12.956206
46,3,8.829241
46,4,14.647650
47,0,13.164022
47,1,3.904377
47,2,12.796010
47,3,14.141763
47,4,8.016755
48,0,3.796674
48,1,11.810116
48,2,8.471475
48,3,6.806895
48,4,11.651460
49,0,15.492474
49,1,14.488925
49,2,17.013412
49,3,17.288246
49,4,10.565598
50,0,6.593309
50,1,5.505118
50,2,7.873939
50,3,8.490169
50,4,10.133819
51,0,10.092328
51,1,12.596621
51,2,4.216818
51,3,9.420260
51,4,12.530901
52,0,9.196795
52,1,11.879950
52,2,4.981880
52,3,10.603175
52,4,8.123435
53,0,12.262757
53,1,12.680581
53,2,10.451220
53,3,7.009735
53,4,9.536887
54,0,8.702180
54,1,5.294260
54,2,10.968486
54,3,7.562285
54,4,8.762307
55,0,9.997825
55,1,4.871167
55,2,12.831632
55,3,12.432570
55,4,10.071690
56,0,10.378350
56,1,9.256835
56,2,10.793273
56,3,6.688944
56,4,12.042765
57,0,8.660928
57,1,13.275046
57,2,15.580079
57,3,10.964941
57,4,15.640559
58,0,8.075048
58,1,3.795984
58,2,9.265621
58,3,10.679691
58,4,11.509746
59,0,7.980399
59,1,11.268803
59,2,10.512913
59,3,8.850123
59,4,4.441937
60,0,4.709363
60,1,11.409003
60,2,14.009382
60,3,12.726486
60,4,13.622020
61,0,12.649626
61,1,10.399379
61,2,5.014993
61,3,13.366256
61,4,14.553905
62,0,11.558490
62,1,12.199298
62,2,4.080455
62,3,7.805343
62,4,11.865247
63,0,11.529725
63,1,6.618777
63,2,10.336114
63,3,14.445180
63,4,13.330453
64,0,9.971422
64,1,9.269846
64,2,4.237786
64,3,8.265996
64,4,9.415816
65,0,9.300008
65,1,12.793141
65,2,12.137601
65,3,12.310028
65,4,6.434191
66,0,14.718672
66,1,9.954311
66,2,14.092897
66,3,14.890008
66,4,10.918486
67,0,6.131063
67,1,13.200989
67,2,12.950802
67,3,3.897321
67,4,10.246145
68,0,13.721881
68,1,14.652924
68,2,11.896290
68,3,13.390238
68,4,3.717347
69,0,6.522289
69,1,4.848776
69,2,8.975284
69,3,11.630639
69,4,11.767589
70,0,11.482548
70,1,14.298321
70,2,13.609120
70,3,9.545038
70,4,14.409878
71,0,13.749864
71,1,11.710312
71,2,8.222955
71,3,14.519327
71,4,11.917045
72,0,13.374926
72,1,6.635239
72,2,10.590566
72,3,12.176853
72,4,4.109105
73,0,16.257147
73,1,12.147202
73,2,15.764298
73,3,15.691326
73,4,11.194826
74,0,11.188784
74,1,4.828458
74,2,8.212902
74,3,13.292997
74,4,13.631644
75,0,14.191931
75,1,11.783594
75,2,11.193184
75,3,11.279534
75,4,13.514428
76,0,6.293271
76,1,8.675121
76,2,8.986467
76,3,10.193479
76,4,7.496360
77,0,11.601929
77,1,11.674266
77,2,12.520708
77,3,4.055940
77,4,9.607719
78,0,3.961207
78,1,12.815608
78,2,11.150769
78,3,14.043164
78,4,10.853582
79,0,9.735371
79,1,13.008937
79,2,9.038115
79,3,13.337904
79,4,4.797842
80,0,15.374810
80,1,13.813042
80,2,9.951224
80,3,14.347581
80,4,9.059790
81,0,8.576601
81,1,10.129763
81,2,15.805921
81,3,15.090690
81,4,16.160713
82,0,10.979800
82,1,14.441509
82,2,14.733459
82,3,11.230474
82,4,11.499604
83,0,9.689898
83,1,12.256140
83,2,10.354444
83,3,10.154404
83,4,12.858516
84,0,8.580467
84,1,11.688725
84,2,13.519940
84,3,15.025141
84,4,14.558161
85,0,11.493485
85,1,10.627389
85,2,11.519932
85,3,12.306503
85,4,14.288914
86,0,10.455463
86,1,7.473303
86,2,8.156203
86,3,8.927677
86,4,5.486175
87,0,10.828101
87,1,13.446003
87,2,6.459246
87,3,13.763524
87,4,8.393913
88,0,9.808642
88,1,12.488007
88,2,5.843158
88,3,7.569793
88,4,13.119098
89,0,12.069496
89,1,4.578546
89,2,11.814662
89,3,6.875186
89,4,8.866379
90,0,8.498433
90,1,7.974125
90,2,7.955046
90,3,6.278274
90,4,5.205806
91,0,10.613297
91,1,10.903902
91,2,6.368229
91,3,4.251142
91,4,8.001898
92,0,4.289323
92,1,8.023082
92,2,11.657122
92,3,7.493268
92,4,11.071247
93,0,13.250755
93,1,15.762222
93,2,15.889066
93,3,11.312943
93,4,11.759100
94,0,14.918057
94,1,12.757049
94,2,8.895170
94,3,14.669991
94,4,9.244423
95,0,4.409325
95,1,7.692245
95,2,9.686949
95,3,7.962120
95,4,9.739365
96,0,13.189444
96,1,9.322229
96,2,5.453149
96,3,9.939811
96,4,13.503625
97,0,11.895862
97,1,14.769377
97,2,7.868932
97,3,12.670398
97,4,13.888421
98,0,11.392217
98,1,9.371943
98,2,9.326106
98,3,9.630022
98,4,9.026902
99,0,4.249666
99,1,12.957406
99,2,13.200662
99,3,8.783680
99,4,10.615408
100,0,13.843765
100,1,13.000275
100,2,10.909168
100,3,9.666246
100,4,8.151078
101,0,9.363418
101,1,9.566521
101,2,11.564765
101,3,4.177774
101,4,10.606066
102,0,8.260711
102,1,9.749278
102,2,9.895894
102,3,6.793005
102,4,10.506744
103,0,4.062009
103,1,11.341301
103,2,10.108260
103,3,8.218390
103,4,10.245503
104,0,11.391691
104,1,14.969271
104,2,12.303236
104,3,9.637212
104,4,13.959007
105,0,9.586411
105,1,8.528975
105,2,10.862747
105,3,9.650062
105,4,7.130446
106,0,10.580505
106,1,9.207573
106,2,12.261042
106,3,13.758737
106,4,15.113255
107,0,8.047845
107,1,13.721901
107,2,10.430953
107,3,12.646583
107,4,8.709658
108,0,11.898629
108,1,16.835199
108,2,15.809383
108,3,16.737143
108,4,11.667926
109,0,8.727609
109,1,10.606105
109,2,11.698092
109,3,12.811186
109,4,5.568089
110,0,7.297757
110,1,10.026153
110,2,7.575731
110,3,10.914601
110,4,4.124539
111,0,3.611649
111,1,9.473158
111,2,9.210985
111,3,11.555321
111,4,9.215060
112,0,7.938144
112,1,9.716990
112,2,4.844275
112,3,10.306381
112,4,11.402366
113,0,9.704672
113,1,10.584158
113,2,4.052440
113,3,9.251331
113,4,6.270308
114,0,4.134990
114,1,11.488349
114,2,10.420419
114,3,9.032797
114,4,9.229157
115,0,4.114680
115,1,12.155578
115,2,9.125418
115,3,9.289161
115,4,10.306612
116,0,12.770603
116,1,13.930107
116,2,11.423235
116,3,8.797097
116,4,12.399771
117,0,12.477384
117,1,11.407080
117,2,12.293995
117,3,10.001220
117,4,13.939508
118,0,7.038752
118,1,13.467976
118,2,13.608633
118,3,9.086125
118,4,8.350262
119,0,8.051355
119,1,4.204870
119,2,9.601552
119,3,11.132342
119,4,8.795251
120,0,10.905993
120,1,12.689733
120,2,11.467889
120,3,13.413470
120,4,12.025570
121,0,9.761124
121,1,4.602018
121,2,12.743118
121,3,12.355437
121,4,8.494062
122,0,10.185111
122,1,10.632394
122,2,8.772106
122,3,13.211425
122,4,12.567326
123,0,8.941983
123,1,4.507069
123,2,6.186000
123,3,12.810326
123,4,13.076663
124,0,7.903104
124,1,7.681434
124,2,3.989147
124,3,9.852750
124,4,6.061785
125,0,3.918908
125,1,6.195229
125,2,10.696187
125,3,9.528842
125,4,9.188827
126,0,10.687206
126,1,11.056113
126,2,14.209151
126,3,10.074912
126,4,13.443790
127,0,10.376837
127,1,8.986546
127,2,7.161156
127,3,12.772088
127,4,11.258310
128,0,10.288349
128,1,6.631505
128,2,13.140688
128,3,13.378134
128,4,8.330267
129,0,8.471408
