Round,ClientIndex,ExecutionTime(s)
1,0,54.999653
1,1,59.628554
1,2,55.908318
1,3,71.752023
1,4,67.085279
2,0,40.383512
2,1,46.849588
2,2,41.966311
2,3,31.981368
2,4,46.385378
3,0,68.900709
3,1,67.080547
3,2,56.777168
3,3,62.137422
3,4,51.487825
4,0,27.325114
4,1,46.501337
4,2,43.791178
4,3,38.584008
4,4,52.271914
5,0,37.114312
5,1,39.331306
5,2,41.111853
5,3,39.327409
5,4,28.553662
6,0,23.668489
6,1,48.823530
6,2,49.477412
6,3,56.394882
6,4,30.745136
7,0,25.024755
7,1,30.838367
7,2,32.499961
7,3,41.879726
7,4,40.744048
8,0,35.215622
8,1,54.866567
8,2,54.361641
8,3,51.440895
8,4,40.747478
9,0,34.378211
9,1,58.083898
9,2,57.819575
9,3,34.522645
9,4,42.404460
10,0,25.074334
10,1,56.064265
10,2,57.723668
10,3,57.860168
10,4,36.044429
11,0,32.189547
11,1,33.505969
11,2,33.056161
11,3,27.778620
11,4,45.200225
12,0,54.404629
12,1,62.618627
12,2,34.001521
12,3,53.584442
12,4,34.601752
13,0,43.534442
13,1,48.728408
13,2,26.418847
13,3,21.884034
13,4,28.704686
14,0,22.365664
14,1,51.491378
14,2,61.719263
14,3,50.663815
14,4,62.571979
15,0,32.363028
15,1,46.254294
15,2,38.580758
15,3,30.494955
15,4,46.743202
16,0,33.003335
16,1,31.726531
16,2,53.115834
16,3,30.518423
16,4,44.562141
17,0,36.075468
17,1,32.349591
17,2,36.936682
17,3,30.855053
17,4,43.224414
18,0,47.813792
18,1,21.772828
18,2,32.102370
18,3,41.816895
18,4,38.156193
19,0,39.085449
19,1,34.761440
19,2,32.403092
19,3,37.928419
19,4,34.618792
20,0,38.025296
20,1,45.272774
20,2,27.208646
20,3,40.218123
20,4,28.329773
21,0,33.887923
21,1,42.442299
21,2,51.394594
21,3,39.035697
21,4,32.409619
22,0,30.279914
22,1,36.826516
22,2,35.501488
22,3,22.643662
22,4,38.980506
23,0,30.996780
23,1,44.162828
23,2,46.083898
23,3,43.609334
23,4,48.493968
24,0,32.564180
24,1,54.697223
24,2,21.623795
24,3,56.195266
24,4,32.484803
25,0,47.490453
25,1,34.655688
25,2,54.039506
25,3,34.002011
25,4,47.696087
26,0,35.999719
26,1,32.627266
26,2,47.116644
26,3,41.736987
26,4,24.700500
27,0,30.691642
27,1,45.979772
27,2,32.351572
27,3,43.331626
27,4,45.577772
28,0,51.418498
28,1,35.408427
28,2,48.716285
28,3,21.976952
28,4,32.698446
29,0,46.438711
29,1,51.635084
29,2,33.397183
29,3,47.109747
29,4,31.670482
30,0,36.877638
30,1,51.561804
30,2,28.794699
30,3,59.480057
30,4,58.432968
31,0,30.783224
31,1,40.667244
31,2,36.548034
31,3,24.516995
31,4,35.933420
32,0,53.287060
32,1,46.631780
32,2,43.852043
32,3,54.200500
32,4,59.768539
33,0,33.258638
33,1,40.662190
33,2,36.594077
33,3,38.066267
33,4,30.809067
34,0,35.035203
34,1,34.556761
34,2,52.732062
34,3,57.961479
34,4,57.825906
35,0,39.156962
35,1,34.315778
35,2,31.049171
35,3,50.236928
35,4,55.465977
36,0,35.302742
36,1,34.167911
36,2,53.923383
36,3,42.191639
36,4,41.742762
37,0,25.739961
37,1,23.660061
37,2,35.110733
37,3,44.464803
37,4,38.066459
38,0,24.993429
38,1,43.621244
38,2,49.860933
38,3,43.591760
38,4,28.009735
39,0,42.333910
39,1,21.663797
39,2,39.527261
39,3,28.419579
39,4,37.771436
40,0,50.698171
40,1,39.946654
40,2,64.206049
40,3,52.048341
40,4,62.131851
41,0,54.921312
41,1,48.145841
41,2,47.234791
41,3,34.746170
41,4,41.047516
42,0,49.761197
42,1,31.959574
42,2,51.365405
42,3,28.682304
42,4,35.688442
43,0,42.488461
43,1,42.423246
43,2,34.992585
43,3,34.575581
43,4,43.316062
44,0,43.509931
44,1,32.502511
44,2,22.191501
44,3,44.324746
44,4,35.501775
45,0,46.653296
45,1,53.240877
45,2,42.796286
45,3,34.419773
45,4,41.258885
46,0,31.375924
46,1,37.078456
46,2,36.299178
46,3,32.664662
46,4,33.319097
47,0,24.316606
47,1,51.870769
47,2,26.742198
47,3,40.275102
47,4,53.494480
48,0,53.259628
48,1,26.632114
48,2,56.192040
48,3,28.273880
48,4,38.547987
49,0,26.172090
49,1,21.757009
49,2,33.734694
49,3,28.444884
49,4,40.541979
50,0,29.330962
50,1,55.747404
50,2,34.594234
50,3,56.638397
50,4,38.170057
51,0,47.143584
51,1,24.218791
51,2,62.542650
51,3,56.155619
51,4,41.581759
52,0,49.497567
52,1,32.522449
52,2,55.532626
52,3,27.477245
52,4,59.999225
53,0,27.337234
53,1,30.799403
53,2,38.783308
53,3,27.848482
53,4,47.181181
54,0,61.574180
54,1,59.562421
54,2,40.069113
54,3,31.566799
54,4,63.231672
55,0,53.810728
55,1,60.909789
55,2,22.055967
55,3,35.346459
55,4,50.228770
56,0,32.323566
56,1,43.828553
56,2,36.268970
56,3,31.234063
56,4,32.631672
57,0,49.632411
57,1,22.307187
57,2,38.504730
57,3,49.954334
57,4,32.173331
58,0,31.503156
58,1,53.710919
58,2,54.746053
58,3,24.103133
58,4,35.803293
59,0,32.213269
59,1,21.606721
59,2,57.262996
59,3,56.993556
59,4,61.028725
60,0,49.902834
60,1,26.380615
60,2,24.127870
60,3,48.387872
60,4,37.065326
61,0,24.477184
61,1,43.393516
61,2,51.409745
61,3,43.497499
61,4,27.591980
62,0,44.538659
62,1,22.155287
62,2,49.810836
62,3,44.059763
62,4,30.895172
63,0,39.540336
63,1,36.138699
63,2,40.584806
63,3,31.940803
63,4,23.303361
64,0,24.487189
64,1,56.883523
64,2,62.615323
64,3,30.957999
64,4,60.559840
65,0,35.900517
65,1,21.958759
65,2,39.120570
65,3,37.084409
65,4,36.703556
66,0,35.212705
66,1,40.032185
66,2,36.935018
66,3,41.609450
66,4,43.793548
67,0,28.614729
67,1,35.631101
67,2,26.974065
67,3,50.541940
67,4,39.969843
68,0,33.822315
68,1,27.891766
68,2,42.985408
68,3,24.054551
68,4,51.310392
69,0,31.661747
69,1,48.013443
69,2,36.405468
69,3,32.646248
69,4,43.333779
70,0,47.733715
70,1,33.384692
70,2,47.425735
70,3,47.151902
70,4,31.392214
71,0,31.846615
71,1,48.448758
71,2,44.450989
71,3,33.935697
71,4,43.902759
72,0,27.051891
72,1,31.275100
72,2,23.224162
72,3,38.719696
72,4,46.809021
73,0,30.555446
73,1,44.748949
73,2,37.272835
73,3,39.700160
73,4,51.247474
74,0,42.943400
74,1,56.961758
74,2,59.662747
74,3,21.906069
74,4,36.491155
75,0,21.948885
75,1,54.817084
75,2,56.032715
75,3,54.078987
75,4,52.445567
76,0,58.974000
76,1,64.154933
76,2,54.352748
76,3,43.417684
76,4,31.266461
77,0,45.736286
77,1,31.766806
77,2,27.116459
77,3,54.828150
77,4,56.329622
78,0,59.452533
78,1,42.935930
78,2,49.232213
78,3,28.496929
78,4,56.918784
79,0,49.965086
79,1,34.021785
79,2,57.964761
79,3,49.939884
79,4,61.472588
80,0,35.223783
80,1,23.212334
80,2,43.082607
80,3,32.433609
80,4,34.564070
81,0,51.497776
81,1,49.820922
81,2,39.793578
81,3,43.274678
81,4,42.280031
82,0,46.407908
82,1,32.954139
82,2,44.179265
82,3,49.666982
82,4,31.520760
83,0,41.813820
83,1,30.848413
83,2,49.669219
83,3,34.812216
83,4,23.592247
84,0,32.821159
84,1,39.824789
84,2,27.020922
84,3,31.378016
84,4,31.327402
85,0,47.068320
85,1,42.627574
85,2,46.571926
85,3,24.292758
85,4,46.417329
86,0,23.310688
86,1,37.912760
86,2,47.410533
86,3,45.737937
86,4,53.243019
87,0,51.756076
87,1,42.622473
87,2,28.821032
87,3,46.824854
87,4,53.191772
88,0,39.331810
88,1,32.741261
88,2,50.479862
88,3,34.212866
88,4,30.822544
89,0,32.313875
89,1,53.051486
89,2,26.105951
89,3,28.131290
89,4,45.929057
90,0,54.847948
90,1,55.729942
90,2,35.188949
90,3,41.365012
90,4,64.124989
91,0,24.447380
91,1,45.770583
91,2,33.227107
91,3,54.662312
91,4,56.400269
92,0,56.011177
92,1,56.227945
92,2,40.588914
92,3,28.997350
92,4,41.598078
93,0,22.635956
93,1,45.400434
93,2,36.817823
93,3,43.131536
93,4,46.744994
94,0,27.946188
94,1,32.205260
94,2,46.150378
94,3,42.358545
94,4,35.839749
95,0,57.967159
95,1,60.044527
95,2,48.821199
95,3,48.038988
95,4,23.690777
96,0,24.760599
96,1,52.701825
96,2,53.221837
96,3,31.009482
96,4,35.329601
97,0,42.312707
97,1,28.354775
97,2,37.690781
97,3,37.965607
97,4,33.258745
98,0,22.544611
98,1,29.791773
98,2,51.516754
98,3,51.137216
98,4,33.809342
99,0,56.321469
99,1,23.922151
99,2,36.114876
99,3,57.786041
99,4,50.671218
100,0,31.233225
100,1,36.080881
100,2,44.908050
100,3,31.781321
100,4,41.319339
101,0,56.320042
101,1,46.181315
101,2,33.859236
101,3,62.441756
101,4,34.300404
102,0,51.745877
102,1,42.754333
102,2,46.515230
102,3,31.314839
102,4,42.329146
103,0,68.776835
103,1,62.928922
103,2,67.181124
103,3,62.132293
103,4,49.960196
104,0,43.515623
104,1,27.620407
104,2,55.024398
104,3,54.846467
104,4,23.754030
105,0,36.576497
105,1,49.934005
105,2,24.308508
105,3,48.473329
105,4,43.651776
106,0,44.771871
106,1,32.810643
106,2,46.569389
106,3,31.734816
106,4,27.810512
107,0,53.230925
107,1,40.138143
107,2,52.587904
107,3,34.552987
107,4,47.993675
108,0,46.749694
108,1,32.830201
108,2,46.173372
108,3,30.413799
108,4,45.377202
109,0,60.120314
109,1,53.940594
109,2,21.980206
109,3,45.352659
109,4,59.916174
110,0,28.230128
110,1,34.768360
110,2,53.907034
110,3,23.523572
110,4,53.098118
111,0,64.361638
111,1,57.578003
111,2,64.574302
111,3,30.597605
111,4,43.495834
112,0,39.530519
112,1,59.096580
112,2,60.658127
112,3,54.395916
112,4,57.019112
113,0,43.993701
113,1,33.694574
113,2,54.321342
113,3,40.833070
113,4,29.262730
114,0,64.046041
114,1,24.873626
114,2,56.569535
114,3,64.659406
114,4,66.462636
115,0,67.759484
115,1,42.786241
115,2,51.674276
115,3,62.529341
115,4,66.247963
116,0,32.282519
116,1,27.560682
116,2,33.484612
116,3,49.838409
116,4,41.699258
117,0,21.184310
117,1,49.791096
117,2,42.316950
117,3,35.603118
117,4,42.733968
118,0,28.296257
118,1,26.153767
118,2,29.976229
118,3,39.384072
118,4,45.213894
119,0,60.882231
119,1,59.456784
119,2,50.071801
119,3,47.097582
119,4,48.134986
120,0,47.704388
120,1,33.287066
120,2,44.453303
120,3,31.323332
120,4,36.896386
121,0,41.617077
121,1,59.448336
121,2,26.844291
121,3,33.875708
121,4,60.735097
122,0,48.125799
122,1,42.344891
122,2,31.709539
122,3,33.221320
122,4,38.603772
123,0,40.907457
123,1,50.543224
123,2,41.480306
123,3,24.293015
123,4,32.439048
124,0,59.157883
124,1,39.902443
124,2,59.041685
124,3,52.718336
124,4,42.761000
125,0,51.620275
125,1,41.983815
125,2,42.936469
125,3,43.389218
125,4,35.786679
126,0,47.543303
126,1,56.065620
126,2,44.014284
126,3,54.775828
126,4,38.677069
127,0,47.945972
127,1,45.422581
127,2,30.468897
127,3,27.734152
127,4,48.528847
128,0,41.877416
128,1,35.668692
128,2,40.458180
128,3,34.601587
128,4,49.765176
129,0,33.386134
129,1,45.151249
129,2,42.744863
129,3,28.908504
129,4,51.417535
130,0,30.486345
130,1,57.494954
130,2,60.735018
130,3,24.187347
130,4,49.006407
131,0,59.302741
131,1,31.410976
131,2,56.173831
131,3,30.259486
131,4,57.785293
132,0,25.790782
132,1,22.359664
132,2,48.940588
132,3,39.019994
132,4,48.832439
133,0,22.281335
133,1,48.922292
133,2,37.470419
133,3,44.507862
133,4,37.320688
134,0,28.162880
134,1,38.701840
134,2,49.793436
134,3,49.541324
134,4,27.349374
135,0,56.625202
135,1,28.378177
135,2,42.432601
135,3,45.541344
135,4,57.651430
136,0,21.907004
136,1,50.576312
136,2,29.127603
136,3,45.543329
136,4,39.862252
137,0,21.930171
137,1,43.137865
137,2,46.482533
137,3,50.507281
137,4,55.212389
138,0,43.137080
138,1,24.566898
138,2,66.019574
138,3,65.136154
138,4,66.164497
139,0,56.072569
139,1,31.015660
139,2,34.121255
139,3,58.902561
139,4,38.367627
140,0,32.321666
140,1,51.729426
140,2,39.819135
140,3,54.825762
140,4,46.097927
141,0,28.832231
141,1,56.364483
141,2,44.044703
141,3,52.428864
141,4,22.286163
142,0,34.318915
142,1,26.089979
142,2,43.364603
142,3,43.448231
142,4,37.745948
143,0,46.683016
143,1,31.425752
143,2,32.891624
143,3,44.478618
143,4,51.219775
144,0,46.322870
144,1,52.195680
144,2,44.062483
144,3,36.394054
144,4,22.377633
145,0,28.122039
145,1,50.409574
145,2,51.668719
145,3,23.587259
145,4,37.193564
146,0,59.411740
146,1,59.298758
146,2,33.144944
146,3,62.549729
146,4,56.620888
147,0,38.025523
147,1,55.302531
147,2,53.933843
147,3,52.004075
147,4,24.546486
148,0,35.950571
148,1,39.568374
148,2,23.578414
148,3,40.954869
148,4,50.604411
149,0,36.160734
149,1,24.902210
149,2,50.692849
149,3,40.936776
149,4,44.608019
150,0,33.368150
150,1,24.010859
150,2,31.094616
150,3,41.439822
150,4,31.322524
151,0,27.540056
151,1,31.209456
151,2,38.581919
151,3,46.334027
151,4,37.390051
152,0,46.449653
152,1,28.133741
152,2,43.650974
152,3,51.472003
152,4,24.094828
153,0,44.980577
153,1,31.811510
153,2,39.348324
153,3,49.731854
153,4,32.442440
154,0,54.239617
154,1,39.095887
154,2,61.548986
154,3,50.813391
154,4,27.224740
155,0,34.349228
155,1,45.052578
155,2,47.891489
155,3,51.550486
155,4,48.723506
156,0,38.389981
156,1,33.959883
156,2,51.569616
156,3,40.821592
156,4,45.764141
157,0,31.972913
157,1,33.704473
157,2,55.402726
157,3,28.005479
157,4,52.102172
158,0,49.803035
158,1,43.310459
158,2,47.187323
158,3,31.332606
158,4,40.957835
159,0,30.691895
159,1,41.705426
159,2,32.879847
159,3,43.034336
159,4,32.399599
160,0,46.155490
160,1,31.326813
160,2,36.315722
160,3,41.894624
160,4,26.380779
161,0,35.588908
161,1,21.883592
161,2,49.112847
161,3,55.986005
161,4,47.217115
162,0,22.652015
162,1,34.290129
162,2,29.126489
162,3,36.248415
162,4,41.523928
163,0,24.063629
163,1,27.564228
163,2,44.301949
163,3,34.913530
163,4,34.854555
164,0,24.484557
164,1,43.382959
164,2,38.808119
164,3,51.285648
164,4,31.860598
165,0,55.215887
165,1,34.556486
165,2,60.728949
165,3,22.028220
165,4,56.653448
166,0,60.078510
166,1,53.787778
166,2,65.702571
166,3,67.814785
166,4,44.900753
167,0,53.488609
167,1,55.907682
167,2,33.883706
167,3,28.358762
167,4,46.617563
168,0,28.312639
168,1,33.707655
168,2,45.274410
168,3,32.032662
168,4,33.244365
169,0,29.723062
169,1,32.580679
169,2,36.487046
169,3,51.504061
169,4,51.217222
170,0,45.291555
170,1,33.925618
170,2,25.809340
170,3,39.067966
170,4,21.939287
171,0,30.925983
171,1,38.422875
171,2,56.513481
171,3,40.698559
171,4,54.189842
172,0,36.082430
172,1,35.249782
172,2,53.122047
172,3,44.615429
172,4,38.819015
173,0,35.465711
173,1,23.703132
173,2,48.057302
173,3,51.316534
173,4,43.665346
174,0,32.998905
174,1,41.562724
174,2,46.763323
174,3,32.857174
174,4,28.412470
175,0,22.367939
175,1,30.551187
175,2,31.487615
175,3,31.384250
175,4,45.023255
176,0,49.462602
176,1,62.462051
176,2,38.710685
176,3,60.324041
176,4,44.327734
177,0,37.902648
177,1,60.277507
177,2,31.884541
177,3,44.937784
177,4,52.797325
178,0,28.883765
