Round,ClientIndex,ExecutionTime(s)
1,0,12.710272
1,1,15.068848
1,2,12.503627
1,3,6.462354
1,4,10.077904
2,0,14.064310
2,1,11.246019
2,2,13.053261
2,3,6.513939
2,4,9.031613
3,0,5.649940
3,1,8.778804
3,2,11.649240
3,3,7.499019
3,4,9.895444
4,0,12.771598
4,1,8.442209
4,2,9.574721
4,3,13.263559
4,4,4.246246
5,0,14.375237
5,1,6.581925
5,2,11.045923
5,3,15.131898
5,4,15.322866
6,0,13.579028
6,1,10.203799
6,2,10.917078
6,3,9.448025
6,4,13.148623
7,0,11.867040
7,1,8.304890
7,2,6.784871
7,3,10.298492
7,4,12.130134
8,0,10.953680
8,1,8.196175
8,2,9.043236
8,3,9.596219
8,4,6.130031
9,0,9.821188
9,1,9.044769
9,2,9.644984
9,3,12.589698
9,4,10.155136
10,0,10.228049
10,1,8.708039
10,2,4.658184
10,3,9.594465
10,4,8.000448
11,0,12.893608
11,1,7.004198
11,2,12.845806
11,3,13.710642
11,4,9.009221
12,0,8.219227
12,1,4.665630
12,2,11.101398
12,3,10.133936
12,4,10.461283
13,0,12.033825
13,1,9.098352
13,2,12.866000
13,3,14.153848
13,4,14.672553
14,0,9.575794
14,1,8.961962
14,2,4.060291
14,3,8.836201
14,4,7.558221
15,0,11.377417
15,1,10.249160
15,2,13.621771
15,3,14.557797
15,4,11.326121
16,0,9.637180
16,1,10.746176
16,2,4.486513
16,3,5.759661
16,4,8.804084
17,0,10.447012
17,1,13.098684
17,2,7.077232
17,3,13.652645
17,4,11.559202
18,0,4.122069
18,1,13.730450
18,2,14.266132
18,3,12.544091
18,4,7.909299
19,0,11.357091
19,1,6.096951
19,2,12.395704
19,3,11.687931
19,4,9.054571
20,0,12.675251
20,1,8.413307
20,2,14.184839
20,3,14.681062
20,4,6.311960
21,0,13.329963
21,1,9.967287
21,2,3.652355
21,3,13.220572
21,4,8.283090
22,0,6.522016
22,1,13.402224
22,2,13.024745
22,3,13.883902
22,4,10.170423
23,0,6.157722
23,1,10.020990
23,2,12.314090
23,3,8.904945
23,4,9.939706
24,0,11.001618
24,1,3.838851
24,2,11.189993
24,3,8.547198
24,4,6.232950
25,0,10.403984
25,1,12.159819
25,2,4.505483
25,3,12.071779
25,4,7.805162
26,0,11.350467
26,1,5.675711
26,2,4.321805
26,3,7.451241
26,4,9.593337
27,0,8.199289
27,1,10.585268
27,2,11.570921
27,3,13.176634
27,4,10.842969
28,0,5.022451
28,1,13.289142
28,2,11.392115
28,3,12.821359
28,4,9.254279
29,0,9.750468
29,1,8.253579
29,2,10.169032
29,3,8.525230
29,4,6.116997
30,0,10.466210
30,1,9.245670
30,2,6.259164
30,3,9.695792
30,4,4.505874
31,0,8.931034
31,1,8.975126
31,2,10.599195
31,3,11.967681
31,4,6.132845
32,0,8.178296
32,1,8.947588
32,2,6.236972
32,3,8.273855
32,4,4.659216
33,0,16.403914
33,1,9.899724
33,2,14.141805
33,3,12.816803
33,4,16.498381
34,0,8.678957
34,1,10.298383
34,2,8.619980
34,3,10.147845
34,4,5.076919
35,0,9.834285
35,1,6.143000
35,2,11.195449
35,3,7.866612
35,4,3.724941
36,0,8.897421
36,1,13.074635
36,2,5.568177
36,3,11.259016
36,4,12.238827
37,0,12.516214
37,1,10.411572
37,2,6.531957
37,3,3.807057
37,4,12.915469
38,0,11.918152
38,1,12.117775
38,2,8.973027
38,3,14.719851
38,4,14.846923
39,0,9.771896
39,1,12.304758
39,2,7.449901
39,3,13.346848
39,4,8.630598
40,0,8.156520
40,1,7.645597
40,2,7.459021
40,3,5.759817
40,4,4.540641
41,0,4.927070
41,1,8.707947
41,2,12.191246
41,3,11.407869
41,4,6.840279
42,0,10.283528
42,1,13.674679
42,2,10.008879
42,3,13.875562
42,4,9.321340
43,0,10.576126
43,1,8.410969
43,2,8.691852
43,3,13.092373
43,4,13.634089
44,0,9.528780
44,1,8.489549
44,2,11.801924
44,3,11.458020
44,4,12.471342
45,0,9.474284
45,1,4.322174
45,2,11.704945
45,3,11.565512
45,4,5.715208
46,0,6.429177
46,1,12.721401
46,2,12.743823
46,3,8.441257
46,4,13.910729
47,0,12.676892
47,1,4.380967
47,2,12.008519
47,3,13.351768
47,4,8.488627
48,0,3.853621
48,1,11.134359
48,2,8.138611
48,3,6.257819
48,4,10.847615
49,0,15.879762
49,1,12.781187
49,2,16.253874
49,3,16.390180
49,4,10.914264
50,0,6.261327
50,1,3.796219
50,2,8.062122
50,3,8.027197
50,4,9.543015
51,0,8.600482
51,1,11.914700
51,2,5.610290
51,3,8.818212
51,4,11.531952
52,0,10.156528
52,1,11.242374
52,2,4.536846
52,3,10.494909
52,4,7.721777
53,0,11.201605
53,1,12.072517
53,2,11.312527
53,3,6.134920
53,4,8.018230
54,0,7.767104
54,1,3.967101
54,2,10.466537
54,3,7.281532
54,4,8.022397
55,0,7.612803
55,1,5.409068
55,2,11.968654
55,3,12.216331
55,4,10.723146
56,0,9.483444
56,1,7.942039
56,2,10.763245
56,3,6.260040
56,4,11.557039
57,0,8.047960
57,1,11.792321
57,2,14.365146
57,3,11.621550
57,4,14.893030
58,0,8.229976
58,1,4.749276
58,2,8.046872
58,3,10.808794
58,4,11.189174
59,0,9.496565
59,1,10.771043
59,2,9.519263
59,3,9.434946
59,4,3.677663
60,0,4.108272
60,1,12.719272
60,2,13.316621
60,3,9.635533
60,4,13.229208
61,0,11.853814
61,1,10.028458
61,2,5.337442
61,3,12.676996
61,4,13.943239
62,0,10.944998
62,1,11.764666
62,2,4.490207
62,3,8.571989
62,4,11.155624
63,0,10.962185
63,1,6.822137
63,2,10.414601
63,3,13.780426
63,4,13.023057
64,0,9.676843
64,1,8.946351
64,2,4.579237
64,3,7.874998
64,4,9.018065
65,0,9.540468
65,1,12.315988
65,2,11.658325
65,3,11.380727
65,4,6.652486
66,0,13.604643
66,1,10.794766
66,2,12.639336
66,3,14.444641
66,4,10.815644
67,0,6.641639
67,1,12.701461
67,2,12.271050
67,3,3.983743
67,4,10.852148
68,0,12.992054
68,1,14.010801
68,2,12.111331
68,3,11.462341
68,4,4.054224
69,0,6.177009
69,1,4.098497
69,2,8.725463
69,3,11.307314
69,4,11.354737
70,0,10.487579
70,1,13.433994
70,2,12.523390
70,3,8.859149
70,4,13.793466
71,0,13.038427
71,1,10.371605
71,2,7.998193
71,3,13.911884
71,4,12.139938
72,0,12.937868
72,1,6.429085
72,2,10.729538
72,3,11.645364
72,4,3.733780
73,0,15.633978
73,1,11.549101
73,2,15.128206
73,3,14.912481
73,4,11.470830
74,0,11.137477
74,1,4.302220
74,2,7.543203
74,3,12.839982
74,4,13.122408
75,0,13.647169
75,1,10.868249
75,2,11.235344
75,3,10.402578
75,4,13.127864
76,0,4.285008
76,1,7.518581
76,2,8.907194
76,3,9.761997
76,4,6.766298
77,0,10.535336
77,1,11.564188
77,2,12.032320
77,3,4.584147
77,4,8.908892
78,0,5.192702
78,1,12.207099
78,2,9.900106
78,3,13.420064
78,4,10.362268
79,0,10.335090
79,1,12.480683
79,2,8.040606
79,3,13.072904
79,4,4.371140
80,0,14.691423
80,1,12.284092
80,2,12.115571
80,3,13.978178
80,4,8.631593
81,0,7.774644
81,1,12.217603
81,2,13.741949
81,3,14.637265
81,4,15.364769
82,0,10.782316
82,1,14.112756
82,2,14.087104
82,3,8.638174
82,4,9.812914
83,0,9.801349
83,1,11.837087
83,2,8.235894
83,3,10.221195
83,4,12.290779
84,0,9.089536
84,1,11.064708
84,2,14.132214
84,3,14.304555
84,4,14.205751
85,0,11.086009
85,1,9.228940
85,2,12.048074
