Round,ClientIndex,ExecutionTime(s)
1,0,18.035339
1,1,15.464728
1,2,17.739853
1,3,16.451981
1,4,16.377220
2,0,11.641698
2,1,11.994550
2,2,6.502701
2,3,8.088655
2,4,12.070363
3,0,14.776022
3,1,14.876071
3,2,12.516136
3,3,13.757789
3,4,13.817932
4,0,7.533254
4,1,14.491381
4,2,12.646169
4,3,13.016896
4,4,12.907275
5,0,12.000165
5,1,8.200065
5,2,11.534835
5,3,7.047686
5,4,10.420407
6,0,7.190761
6,1,13.234150
6,2,13.226233
6,3,13.246025
6,4,13.342885
7,0,11.236381
7,1,14.892643
7,2,9.585722
7,3,13.390205
7,4,13.469612
8,0,13.935976
8,1,14.140966
8,2,13.914453
8,3,15.453677
8,4,8.828617
9,0,16.731510
9,1,13.806502
9,2,15.491001
9,3,14.822471
9,4,15.183459
10,0,10.026856
10,1,15.147295
10,2,13.081010
10,3,14.389859
10,4,15.692949
11,0,10.806886
11,1,8.282542
11,2,12.661626
11,3,12.431003
11,4,12.206018
12,0,13.128744
12,1,13.692961
12,2,13.528033
12,3,14.395864
12,4,10.184515
13,0,11.814922
13,1,11.456338
13,2,8.892273
13,3,6.330729
13,4,11.483717
14,0,10.521994
14,1,15.402940
14,2,12.571232
14,3,14.640687
14,4,13.044510
15,0,14.857273
15,1,13.323956
15,2,6.110977
15,3,12.700206
15,4,12.974669
16,0,10.038377
16,1,12.981816
16,2,11.863189
16,3,8.190734
16,4,12.945910
17,0,15.176899
17,1,13.838788
17,2,9.221184
17,3,12.574152
17,4,14.111417
18,0,11.309104
18,1,6.113237
18,2,11.137781
18,3,12.628036
18,4,13.998190
19,0,11.305023
19,1,8.242831
19,2,5.687625
19,3,9.661871
19,4,12.687618
20,0,12.157647
20,1,12.251957
20,2,7.915869
20,3,11.429155
20,4,8.675427
21,0,12.636301
21,1,13.211580
21,2,12.658743
21,3,5.935077
21,4,14.988976
22,0,8.078848
22,1,11.678155
22,2,9.735550
22,3,6.052911
22,4,11.732266
23,0,8.491670
23,1,12.546610
23,2,12.006218
23,3,15.238621
23,4,13.296577
24,0,11.820166
24,1,11.598250
24,2,6.370638
24,3,11.598489
24,4,9.301716
25,0,12.936987
25,1,13.544680
25,2,12.408185
25,3,6.466865
25,4,14.726359
26,0,10.965441
26,1,8.809390
26,2,11.255759
26,3,13.539890
26,4,9.221987
27,0,10.433985
27,1,11.802708
27,2,9.853092
27,3,11.227751
27,4,12.344370
28,0,11.450593
28,1,11.870021
28,2,12.175274
28,3,6.074760
28,4,14.016845
29,0,13.205224
29,1,13.374526
29,2,10.767432
29,3,14.710984
29,4,9.702232
30,0,13.636874
30,1,13.808712
30,2,8.535485
30,3,13.196848
30,4,11.982786
31,0,12.903080
31,1,11.465350
31,2,9.469236
31,3,6.325755
31,4,8.960705
32,0,14.192389
32,1,14.060432
32,2,8.692129
32,3,15.057359
32,4,12.256882
33,0,6.602574
33,1,11.516816
33,2,11.906638
33,3,9.342115
33,4,10.497996
34,0,15.265817
34,1,9.771459
34,2,13.432931
34,3,13.000982
34,4,13.367931
35,0,9.572737
35,1,8.148916
35,2,11.946532
35,3,11.869488
35,4,11.709052
36,0,16.175803
36,1,14.113463
36,2,13.161736
36,3,13.673993
36,4,15.067285
37,0,6.034980
37,1,8.395978
37,2,8.582795
37,3,10.434441
37,4,10.027139
38,0,9.581656
38,1,13.012799
38,2,13.498246
38,3,12.953808
38,4,12.354013
39,0,11.314101
39,1,6.582485
39,2,7.885530
39,3,10.096433
39,4,13.189145
40,0,13.874330
40,1,14.893132
40,2,12.778406
40,3,9.298572
40,4,12.619929
41,0,12.085137
41,1,12.668102
41,2,10.828681
41,3,13.000483
41,4,8.393993
42,0,11.659034
42,1,5.708880
42,2,12.449173
42,3,10.119155
42,4,14.144791
43,0,13.401506
43,1,14.829769
43,2,8.748385
43,3,13.785245
43,4,12.356053
44,0,11.534622
44,1,9.245701
44,2,9.093451
44,3,11.439327
44,4,6.553903
45,0,11.997352
45,1,11.423174
45,2,7.600091
45,3,12.072377
45,4,7.698020
46,0,9.643156
46,1,12.047588
46,2,9.571245
46,3,13.918286
46,4,11.501284
47,0,6.119913
47,1,11.930976
47,2,9.594161
47,3,11.028753
47,4,11.556065
48,0,11.746995
48,1,7.115407
48,2,11.509315
48,3,8.836927
48,4,12.184317
49,0,6.571674
49,1,9.539703
49,2,11.947868
49,3,10.813685
49,4,12.295854
50,0,9.454509
50,1,11.582628
50,2,13.228797
50,3,11.670646
50,4,6.273670
51,0,13.067769
51,1,6.715312
51,2,12.717278
51,3,12.784366
51,4,12.638443
52,0,12.350019
52,1,5.968488
52,2,11.117024
52,3,9.079742
52,4,12.056391
53,0,8.856077
53,1,5.888352
53,2,10.860267
53,3,8.400136
53,4,11.117111
54,0,12.271850
54,1,12.799198
54,2,11.263538
54,3,8.899642
54,4,13.150012
55,0,11.882501
55,1,11.287047
55,2,5.778874
55,3,12.856376
55,4,12.559206
56,0,12.367269
56,1,10.621008
56,2,9.295720
56,3,8.756253
56,4,7.675715
57,0,14.196170
57,1,10.906148
57,2,13.424858
57,3,13.273699
57,4,12.332246
58,0,14.208356
58,1,11.931389
58,2,12.037194
58,3,9.710716
58,4,7.251354
59,0,15.099296
59,1,6.668391
59,2,12.906332
59,3,12.870959
59,4,12.543433
60,0,10.863985
60,1,9.631227
60,2,5.657659
60,3,11.262343
60,4,11.872769
61,0,8.812223
61,1,12.970292
61,2,11.904758
61,3,12.896344
61,4,12.939792
62,0,11.620616
62,1,6.388611
62,2,10.896167
62,3,13.387727
62,4,9.765146
63,0,11.601264
63,1,9.312752
63,2,12.948753
63,3,10.169845
63,4,6.061347
64,0,10.635396
64,1,13.961248
64,2,12.316137
64,3,15.214728
64,4,13.683106
65,0,12.918179
65,1,6.192273
65,2,11.228572
65,3,9.649835
65,4,8.753989
66,0,12.058997
66,1,13.914829
66,2,10.809132
66,3,5.814763
66,4,12.507743
67,0,7.805331
67,1,10.992585
67,2,5.819205
67,3,11.278387
67,4,11.398691
68,0,12.662632
68,1,10.795463
68,2,13.131002
68,3,9.958386
68,4,12.236799
69,0,8.653451
69,1,10.529888
69,2,13.187542
69,3,5.773941
69,4,11.988463
70,0,12.933200
70,1,6.659839
70,2,12.741417
70,3,14.814234
70,4,12.755747
71,0,13.306529
71,1,12.997425
71,2,8.465203
71,3,11.316228
71,4,12.714676
72,0,11.017403
72,1,8.458903
72,2,9.485026
72,3,11.646398
72,4,11.966735
73,0,10.526723
73,1,13.151334
73,2,12.448264
73,3,5.469208
73,4,13.052698
74,0,12.579314
74,1,12.470032
74,2,12.516474
74,3,7.717909
74,4,12.413608
75,0,7.745626
75,1,13.371148
75,2,12.879817
75,3,13.095252
75,4,13.090186
76,0,13.752120
76,1,13.316239
76,2,13.605632
76,3,13.182481
76,4,9.307571
77,0,11.957626
77,1,8.579464
77,2,5.979803
77,3,11.183152
77,4,12.168317
78,0,13.571890
78,1,13.605086
78,2,13.750584
78,3,13.406623
78,4,14.262999
79,0,12.505261
79,1,5.673742
79,2,12.015407
79,3,11.192063
79,4,12.217194
80,0,11.022083
80,1,9.168264
80,2,13.544242
80,3,13.736682
80,4,15.039844
81,0,12.621617
81,1,13.207080
81,2,13.193995
81,3,7.363434
81,4,12.841152
82,0,13.161238
82,1,5.946825
82,2,11.114217
82,3,12.236424
82,4,14.413535
83,0,12.476200
83,1,10.022796
83,2,11.636280
83,3,13.979064
83,4,5.935362
84,0,13.779767
84,1,12.811022
84,2,8.841604
84,3,12.335974
84,4,6.851235
85,0,14.138970
85,1,15.080053
85,2,13.382183
85,3,10.023664
85,4,11.283743
86,0,6.763270
86,1,7.705822
86,2,13.353852
86,3,12.101955
86,4,10.580204
87,0,13.201826
87,1,12.550715
87,2,8.328804
87,3,12.791853
87,4,12.631695
88,0,11.281910
88,1,5.825113
88,2,11.146452
88,3,9.158876
88,4,10.763525
89,0,11.941923
89,1,11.853167
89,2,6.169674
89,3,8.093673
89,4,11.911204
90,0,13.434373
90,1,12.634619
90,2,15.003630
90,3,8.315056
90,4,12.118755
91,0,9.239269
91,1,12.141823
91,2,7.647714
91,3,12.116276
91,4,12.360382
92,0,11.640940
92,1,11.485609
92,2,7.210917
92,3,8.321438
92,4,12.070682
93,0,11.483696
93,1,13.860033
93,2,11.778368
93,3,13.277019
93,4,13.896813
94,0,13.251121
94,1,9.406755
94,2,12.533613
94,3,13.853245
94,4,15.121662
95,0,11.803553
95,1,12.128393
95,2,12.717794
95,3,9.832893
95,4,9.794935
96,0,6.543262
96,1,12.567944
96,2,11.584016
96,3,14.100885
96,4,12.321453
97,0,12.366003
97,1,10.957718
97,2,10.200716
97,3,10.069798
97,4,12.118860
98,0,5.967714
98,1,8.953787
98,2,11.551809
98,3,12.052351
98,4,13.456595
99,0,11.846339
99,1,6.937705
99,2,12.766296
99,3,12.835306
99,4,13.052398
100,0,13.565629
100,1,13.611663
100,2,13.353880
100,3,15.173971
100,4,9.169856
