Round,ClientIndex,ExecutionTime(s)
1,0,73.863296
1,1,47.017066
1,2,87.752688
1,3,98.111642
1,4,84.647631
2,0,58.889246
2,1,79.155241
2,2,42.506925
2,3,69.840212
2,4,60.644643
3,0,54.122521
3,1,66.814228
3,2,34.236392
3,3,59.553160
3,4,42.982631
4,0,44.619596
4,1,44.304657
4,2,60.257052
4,3,30.491265
4,4,72.177011
5,0,55.929051
5,1,30.331036
5,2,69.194577
5,3,47.259196
5,4,33.240944
6,0,63.207609
6,1,55.399990
6,2,46.900565
6,3,70.138584
6,4,43.687401
7,0,47.450394
7,1,79.786807
7,2,79.393546
7,3,49.533661
7,4,60.275509
8,0,29.557510
8,1,35.988056
8,2,48.909971
8,3,47.862935
8,4,41.991174
9,0,52.419636
9,1,52.506910
9,2,60.697963
9,3,49.159940
9,4,36.603871
10,0,32.609117
10,1,59.120301
10,2,38.695243
10,3,51.514059
10,4,59.545023
11,0,40.261865
11,1,39.786564
11,2,63.568361
11,3,66.156815
11,4,48.653486
12,0,65.750723
12,1,39.355850
12,2,35.740567
12,3,49.158587
12,4,61.611187
13,0,50.953107
13,1,44.265640
13,2,76.221176
13,3,68.335589
13,4,68.212758
14,0,35.800190
14,1,36.765992
14,2,50.238714
14,3,36.495754
14,4,39.151709
15,0,57.821404
15,1,39.543981
15,2,39.008739
15,3,63.751172
15,4,61.095550
16,0,37.689957
16,1,39.585784
16,2,54.557286
16,3,53.279810
16,4,52.809894
17,0,54.890357
17,1,28.168612
17,2,53.519132
17,3,30.725325
17,4,41.310418
18,0,37.030044
18,1,58.638324
18,2,47.886664
18,3,51.768078
18,4,62.541975
19,0,53.925999
19,1,45.494426
19,2,43.818160
19,3,55.083159
19,4,33.847650
20,0,53.329793
20,1,47.744025
20,2,38.123126
20,3,49.368086
20,4,23.213135
21,0,53.473454
21,1,61.501308
21,2,55.213165
21,3,53.487695
21,4,34.891174
22,0,57.002916
22,1,34.827639
22,2,28.592755
22,3,44.478697
22,4,54.469460
23,0,56.759491
23,1,23.742892
23,2,43.470172
23,3,49.799864
23,4,34.539542
24,0,50.829127
24,1,26.170206
24,2,52.415414
24,3,32.237789
24,4,34.241345
25,0,33.996329
25,1,45.282243
25,2,29.281301
25,3,34.093503
25,4,40.596337
26,0,58.876705
26,1,33.530278
26,2,31.057827
26,3,48.637562
26,4,51.807229
27,0,48.303388
27,1,55.423124
27,2,42.562315
27,3,44.466302
27,4,29.629106
28,0,49.218623
28,1,45.524715
28,2,39.221551
28,3,23.534508
28,4,46.512763
29,0,23.941746
29,1,39.533014
29,2,45.608813
29,3,56.111157
