Round,ClientIndex,ExecutionTime(s)
1,0,81.896070
1,1,86.168048
1,2,61.644660
1,3,84.940698
1,4,86.229148
1,5,78.874976
1,6,33.717533
2,0,59.184129
2,1,39.224471
2,2,46.769263
2,3,49.850842
2,4,62.606144
2,5,68.890014
2,6,40.228820
3,0,61.598746
3,1,27.565685
3,2,65.634930
3,3,76.862457
3,4,63.329659
3,5,32.515900
3,6,76.267824
4,0,55.603075
4,1,33.097468
4,2,60.290966
4,3,54.645429
4,4,61.819131
4,5,58.819275
4,6,32.245609
5,0,38.530475
5,1,55.732828
5,2,76.651438
5,3,49.081202
5,4,69.058069
5,5,45.689443
5,6,69.715388
6,0,38.882982
6,1,43.318471
6,2,81.982012
6,3,75.138924
6,4,36.728455
6,5,85.279178
6,6,78.680918
7,0,55.519624
7,1,61.374474
7,2,44.887041
7,3,68.477573
7,4,60.953754
7,5,48.022343
7,6,75.073261
8,0,83.039403
8,1,84.362272
8,2,40.888812
8,3,79.009806
8,4,83.666994
8,5,59.736893
8,6,65.381211
9,0,75.840519
9,1,76.377057
9,2,74.372955
9,3,79.220783
9,4,30.476846
9,5,79.555352
9,6,44.741753
10,0,44.748528
10,1,48.989416
10,2,85.869859
10,3,76.948030
10,4,51.911486
10,5,85.454909
10,6,79.022064
11,0,50.075015
11,1,52.831323
11,2,50.082584
11,3,27.821690
11,4,77.243881
11,5,70.379123
11,6,61.313804
12,0,37.886935
12,1,43.154972
12,2,24.721562
12,3,68.604797
12,4,68.915619
12,5,42.268075
12,6,48.009103
13,0,50.380247
13,1,27.745989
13,2,38.507421
13,3,51.879458
13,4,60.430973
13,5,68.345798
13,6,75.075993
14,0,38.935055
14,1,55.197431
14,2,25.808659
14,3,50.335924
14,4,67.160091
14,5,41.632600
14,6,48.879195
15,0,51.742737
15,1,67.428881
15,2,53.695182
15,3,51.443999
15,4,64.142171
15,5,44.372456
15,6,67.428084
16,0,30.548767
16,1,52.836363
16,2,36.570465
16,3,62.852801
16,4,76.292569
16,5,67.786480
16,6,64.583651
17,0,56.309412
17,1,25.503494
17,2,49.895254
17,3,37.925220
17,4,76.014659
17,5,37.711286
17,6,72.625925
18,0,40.624971
18,1,59.541843
18,2,80.488839
18,3,80.780877
18,4,80.022605
18,5,59.680553
18,6,64.386436
19,0,35.582862
19,1,78.377772
19,2,65.429895
19,3,86.375370
19,4,80.536070
19,5,70.163697
19,6,83.486486
20,0,68.600460
20,1,50.251945
20,2,49.131284
20,3,57.496429
20,4,44.978102
20,5,67.309920
20,6,59.374803
21,0,65.722383
21,1,49.356323
21,2,59.543398
21,3,67.561881
21,4,65.441760
21,5,69.344224
21,6,28.420324
22,0,26.997673
22,1,47.009270
22,2,72.453174
22,3,73.970198
22,4,73.556085
22,5,36.664406
22,6,62.835838
23,0,38.734345
23,1,25.339493
23,2,63.378160
23,3,83.768681
23,4,54.760776
23,5,51.921769
23,6,78.740799
24,0,55.754435
24,1,39.141078
24,2,34.891877
24,3,46.741053
24,4,60.544719
24,5,72.486093
24,6,67.094596
25,0,38.418713
25,1,38.994911
25,2,49.852523
25,3,25.496092
25,4,55.315418
25,5,56.385117
25,6,51.860610
26,0,32.264016
26,1,66.241481
26,2,30.914719
26,3,72.414758
26,4,75.597204
26,5,47.216163
26,6,62.641708
27,0,58.556802
27,1,67.456515
27,2,44.275803
27,3,75.101475
27,4,27.069020
27,5,82.812362
27,6,75.141569
28,0,77.500998
28,1,57.105605
28,2,73.087295
28,3,77.375555
28,4,80.558649
28,5,54.134286
28,6,78.633287
29,0,51.002417
29,1,60.841224
29,2,65.628097
29,3,25.629612
29,4,38.124346
29,5,63.321639
29,6,63.072613
30,0,31.804790
30,1,71.982212
30,2,45.264102
30,3,37.248390
30,4,71.360593
30,5,61.125740
30,6,71.951125
31,0,57.289104
31,1,46.741763
31,2,48.517391
31,3,71.142975
31,4,64.477396
31,5,39.974873
31,6,69.514929
32,0,70.010775
32,1,48.960990
32,2,65.194648
32,3,25.043835
32,4,78.481800
32,5,57.139623
32,6,54.332198
33,0,25.061866
33,1,72.399732
33,2,43.673812
33,3,37.460408
33,4,74.923321
33,5,51.269720
33,6,64.112884
34,0,27.320370
34,1,31.517472
34,2,62.412852
34,3,68.017458
34,4,73.714679
34,5,75.909917
34,6,70.342809
35,0,40.152482
35,1,40.958371
35,2,67.469463
35,3,67.219193
35,4,47.181813
35,5,80.522911
35,6,77.765213
36,0,34.661072
36,1,41.090702
36,2,42.157553
36,3,25.838989
36,4,69.599542
36,5,41.495185
36,6,71.041001
37,0,24.521384
37,1,63.372095
37,2,30.384067
37,3,45.670640
37,4,66.665382
37,5,48.742575
37,6,75.511237
38,0,64.157367
38,1,38.780579
38,2,74.969827
38,3,45.587491
38,4,35.143849
38,5,54.210133
38,6,76.591497
39,0,38.698232
39,1,42.615540
39,2,65.360429
39,3,43.126788
39,4,37.582675
39,5,31.909818
39,6,63.115464
40,0,31.197974
40,1,36.478001
40,2,62.694312
40,3,43.008262
40,4,57.685748
40,5,58.910769
40,6,53.573882
41,0,68.311777
41,1,53.294000
41,2,53.769223
41,3,61.321126
41,4,73.697898
41,5,86.592673
41,6,72.397966
42,0,31.703818
42,1,37.989741
42,2,43.676685
42,3,52.943197
42,4,39.504824
42,5,76.022953
42,6,71.451158
43,0,52.194115
43,1,48.573346
43,2,59.671516
43,3,67.599665
43,4,46.275239
43,5,51.099047
43,6,73.608980
44,0,41.977650
44,1,44.340689
44,2,74.063357
44,3,67.848319
44,4,28.693351
44,5,66.196657
44,6,55.409622
45,0,28.368020
45,1,69.534528
45,2,76.472605
45,3,62.671967
45,4,78.923150
45,5,36.467935
45,6,43.994357
46,0,37.672073
46,1,25.813772
46,2,77.875961
46,3,76.188215
46,4,68.337260
46,5,43.484056
46,6,62.772733
47,0,57.485044
47,1,41.874320
47,2,71.342043
47,3,68.080930
47,4,41.888709
47,5,58.215484
47,6,55.666327
48,0,39.510522
48,1,64.961259
48,2,50.772047
48,3,33.183389
48,4,50.827103
48,5,66.511884
48,6,37.227392
49,0,37.167139
49,1,51.249863
49,2,59.722657
49,3,49.648518
49,4,73.896627
49,5,59.564566
49,6,67.335903
50,0,59.762412
50,1,68.505534
50,2,74.984712
50,3,39.958514
50,4,56.697571
50,5,70.532176
50,6,63.633985
51,0,39.569990
51,1,37.067931
51,2,59.031364
51,3,58.570337
51,4,74.034034
51,5,65.195369
51,6,74.825138
52,0,37.361914
52,1,64.799484
52,2,67.176757
52,3,70.131113
52,4,79.602056
52,5,48.207311
52,6,48.303607
53,0,54.849088
53,1,69.841511
53,2,76.396436
53,3,65.970767
53,4,63.953868
53,5,36.651790
53,6,86.814198
54,0,66.844382
54,1,58.209174
54,2,46.805298
54,3,40.876895
54,4,66.156508
54,5,39.878239
54,6,61.709113
55,0,49.074967
55,1,73.240854
55,2,74.939225
55,3,34.973099
55,4,68.255900
55,5,63.432087
55,6,33.064656
56,0,33.204869
56,1,30.326367
56,2,35.427863
56,3,58.395402
