Round,ClientIndex,ExecutionTime(s)
1,0,17.327480
1,1,18.954176
1,2,14.930369
1,3,9.562299
1,4,12.786316
2,0,15.081620
2,1,12.103401
2,2,14.007255
2,3,7.261107
2,4,9.710539
3,0,5.604479
3,1,9.270762
3,2,12.390289
3,3,8.193189
3,4,10.375070
4,0,13.830104
4,1,8.666906
4,2,9.975101
4,3,14.203467
4,4,4.144913
5,0,15.681984
5,1,7.312799
5,2,11.425658
5,3,16.354461
5,4,16.396742
6,0,14.584587
6,1,10.223719
6,2,11.946167
6,3,10.305080
6,4,13.635404
7,0,11.911018
7,1,11.103876
7,2,6.708340
7,3,10.670326
7,4,13.097573
8,0,11.559532
8,1,8.625734
8,2,10.490716
8,3,9.308632
8,4,7.543640
9,0,10.221567
9,1,7.985387
9,2,10.734350
9,3,13.563077
9,4,11.218046
10,0,11.008578
10,1,10.706316
10,2,4.408138
10,3,10.553224
10,4,9.306088
11,0,13.503221
11,1,7.624303
11,2,13.611339
11,3,14.781545
11,4,8.582870
12,0,9.755693
12,1,3.840271
12,2,12.026400
12,3,9.512201
12,4,11.060731
13,0,10.780083
13,1,9.085990
13,2,14.370565
13,3,14.682983
13,4,15.802800
14,0,10.293736
14,1,9.012405
14,2,5.788116
14,3,9.300990
14,4,8.365909
15,0,12.634409
15,1,11.067755
15,2,15.584615
15,3,15.556156
15,4,12.724271
16,0,10.503472
16,1,11.489250
16,2,4.720991
16,3,6.472246
16,4,8.849747
17,0,10.255845
17,1,13.636866
17,2,6.532149
17,3,14.631466
17,4,11.904951
18,0,4.517115
18,1,14.249218
18,2,15.239210
18,3,13.178151
18,4,8.814359
19,0,11.774467
19,1,6.497101
19,2,13.113826
19,3,12.346617
19,4,11.642413
20,0,14.423475
20,1,10.936215
20,2,15.440277
20,3,15.661423
20,4,6.372101
21,0,14.229819
21,1,11.856103
21,2,4.136937
21,3,13.871634
21,4,8.807025
22,0,7.991914
22,1,14.272237
22,2,14.267745
22,3,14.739417
22,4,11.061328
23,0,7.859867
23,1,11.055250
23,2,13.224039
23,3,11.071423
23,4,10.470483
24,0,11.979620
24,1,4.624237
24,2,11.810560
24,3,8.709033
24,4,6.388550
25,0,10.046883
25,1,12.754398
25,2,5.733137
25,3,13.041436
25,4,10.144687
26,0,12.096332
26,1,6.641068
26,2,4.761947
26,3,8.276986
26,4,10.215492
27,0,8.087753
27,1,12.206161
27,2,12.509409
27,3,13.979543
27,4,12.405109
28,0,4.949232
28,1,14.163623
28,2,11.700531
28,3,13.500968
28,4,8.014050
29,0,10.478150
29,1,8.275483
29,2,10.825525
29,3,9.245966
29,4,6.982156
30,0,11.092704
30,1,9.558676
30,2,6.785109
30,3,10.370998
30,4,5.059970
31,0,9.914825
31,1,10.311487
31,2,11.265877
31,3,12.795814
31,4,6.962752
32,0,8.908974
32,1,9.499584
32,2,6.721388
32,3,8.364641
32,4,4.731321
33,0,17.525224
33,1,10.822699
33,2,15.392969
33,3,13.876382
33,4,17.686805
34,0,8.790201
34,1,10.976511
34,2,9.840340
34,3,10.965034
34,4,4.838435
35,0,10.756391
35,1,6.584813
35,2,11.954964
35,3,8.452383
35,4,4.767084
36,0,9.658859
36,1,14.043180
36,2,5.647357
36,3,11.855184
36,4,13.171405
37,0,13.854097
37,1,11.271455
37,2,6.963911
37,3,4.110093
37,4,14.024765
38,0,12.563640
38,1,12.957166
38,2,10.044553
38,3,16.008297
38,4,16.055694
39,0,10.691905
39,1,13.293570
39,2,9.174324
39,3,14.429857
39,4,9.492043
40,0,8.741692
40,1,8.254016
40,2,8.032034
40,3,6.323891
40,4,5.132128
41,0,4.821151
41,1,9.446245
41,2,13.165016
41,3,12.262982
41,4,7.902621
42,0,10.384039
42,1,14.808415
42,2,10.524604
42,3,14.900617
42,4,9.392184
43,0,11.441158
43,1,10.050531
43,2,6.141774
43,3,14.023257
43,4,14.646253
44,0,10.467880
44,1,8.629169
44,2,12.529085
44,3,12.273042
44,4,13.208928
45,0,10.135844
45,1,4.039322
45,2,12.347319
45,3,11.896178
45,4,5.860803
46,0,6.739928
46,1,13.678725
46,2,13.673299
46,3,9.275026
46,4,14.915310
47,0,13.665107
47,1,4.452464
47,2,13.014474
47,3,14.383829
47,4,8.584913
48,0,4.721763
48,1,11.920245
48,2,8.317961
